"path_id"	"full_path_length"	"testable_path_length"	"mutated_genes"	"proportion_mutated"	"proportion_of_cohort_w_mutated_gene_in_path"	"Num_patient_with_mutated_gene_.s._in_path"	"count_of_mutated_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism"	"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism"	11	11	10	0.909090909090909	0.0355029585798817	18	18	5	0	0.100770199007681	1
"alpha-linolenic acid (ALA) metabolism"	"alpha-linolenic acid (ALA) metabolism"	11	11	10	0.909090909090909	0.0355029585798817	18	18	5	0	0.100770199007681	1
"deactivation of the beta-catenin transactivating complex"	"deactivation of the beta-catenin transactivating complex"	33	33	30	0.909090909090909	0.26232741617357	133	168	53	0	0.0377785159701638	1
"mTORC1-mediated signalling"	"mTORC1-mediated signalling"	11	11	10	0.909090909090909	0.0848126232741617	43	45	15	0	0.100770199007681	1
"SLC-mediated transmembrane transport"	"SLC-mediated transmembrane transport"	259	259	235	0.907335907335907	0.686390532544379	348	868	20	0	5.02071652630498e-06	0.000239477111094272
"CD28 co-stimulation"	"CD28 co-stimulation"	32	32	29	0.90625	0.307692307692308	156	191	85	0	0.0441119166768016	1
"Transport of the SLBP independent Mature mRNA"	"Transport of the SLBP independent Mature mRNA"	32	32	29	0.90625	0.175542406311637	89	119	11	0	0.0441119166768016	1
"CD28 dependent PI3K/Akt signaling"	"CD28 dependent PI3K/Akt signaling"	21	21	19	0.904761904761905	0.26232741617357	133	152	85	0	0.0733705014125552	1
"ERK/MAPK targets"	"ERK/MAPK targets"	21	21	19	0.904761904761905	0.120315581854043	61	65	10	0	0.0733705014125552	1
"Glutamate Neurotransmitter Release Cycle"	"Glutamate Neurotransmitter Release Cycle"	21	21	19	0.904761904761905	0.165680473372781	84	100	20	0	0.0733705014125552	1
"HS-GAG degradation"	"HS-GAG degradation"	21	21	19	0.904761904761905	0.128205128205128	65	75	17	0	0.0733705014125552	1
"Neurotransmitter Release Cycle"	"Neurotransmitter Release Cycle"	42	42	38	0.904761904761905	0.264299802761341	134	174	20	0	0.0311653337960992	0.872175281347859
"Peroxisomal lipid metabolism"	"Peroxisomal lipid metabolism"	21	21	19	0.904761904761905	0.102564102564103	52	55	5	0	0.0733705014125552	1
"VxPx cargo-targeting to cilium"	"VxPx cargo-targeting to cilium"	21	21	19	0.904761904761905	0.165680473372781	84	98	14	0	0.0733705014125552	1
"Apoptotic execution  phase"	"Apoptotic execution  phase"	52	52	47	0.903846153846154	0.374753451676529	190	293	42	0	0.0220175381248489	0.649551967532707
"Neuronal System"	"Neuronal System"	280	280	253	0.903571428571429	0.80276134122288	407	1371	28	0	5.54740611247162e-06	0.000263636865028322
"FBXW7 Mutants and NOTCH1 in Cancer"	"FBXW7 Mutants and NOTCH1 in Cancer"	72	72	65	0.902777777777778	0.467455621301775	237	399	66	0	0.0110577419310527	0.359492031911012
"Signaling by NOTCH1"	"Signaling by NOTCH1"	72	72	65	0.902777777777778	0.467455621301775	237	399	66	0	0.0110577419310527	0.359492031911012
"Signaling by NOTCH1 HD Domain Mutants in Cancer"	"Signaling by NOTCH1 HD Domain Mutants in Cancer"	72	72	65	0.902777777777778	0.467455621301775	237	399	66	0	0.0110577419310527	0.359492031911012
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	72	72	65	0.902777777777778	0.467455621301775	237	399	66	0	0.0110577419310527	0.359492031911012
"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	72	72	65	0.902777777777778	0.467455621301775	237	399	66	0	0.0110577419310527	0.359492031911012
"Signaling by NOTCH1 in Cancer"	"Signaling by NOTCH1 in Cancer"	72	72	65	0.902777777777778	0.467455621301775	237	399	66	0	0.0110577419310527	0.359492031911012
"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	72	72	65	0.902777777777778	0.467455621301775	237	399	66	0	0.0110577419310527	0.359492031911012
"EPHB-mediated forward signaling"	"EPHB-mediated forward signaling"	41	41	37	0.902439024390244	0.331360946745562	168	226	28	0	0.0359894188665795	0.992305421496917
"Sphingolipid metabolism"	"Sphingolipid metabolism"	71	71	64	0.901408450704225	0.240631163708087	122	166	12	0	0.0125928524657311	0.402392316179207
"Acetylcholine regulates insulin secretion"	"Acetylcholine regulates insulin secretion"	10	10	9	0.9	0.0966469428007889	49	54	20	0	0.124166481267184	1
"Activated NOTCH1 Transmits Signal to the Nucleus"	"Activated NOTCH1 Transmits Signal to the Nucleus"	30	30	27	0.9	0.242603550295858	123	150	66	0	0.0598654008763844	1
"Activation of PPARGC1A (PGC-1alpha) by phosphorylation"	"Activation of PPARGC1A (PGC-1alpha) by phosphorylation"	10	10	9	0.9	0.0414201183431953	21	21	4	0	0.124166481267184	1
"Activation of gene expression by SREBF (SREBP)"	"Activation of gene expression by SREBF (SREBP)"	40	40	36	0.9	0.287968441814596	146	190	29	0	0.0415002460120255	1
"ERK1 activation"	"ERK1 activation"	10	10	9	0.9	0.0650887573964497	33	34	7	0	0.124166481267184	1
"Ethanol oxidation"	"Ethanol oxidation"	10	10	9	0.9	0.0374753451676529	19	20	6	0	0.124166481267184	1
"Fatty Acyl-CoA Biosynthesis"	"Fatty Acyl-CoA Biosynthesis"	20	20	18	0.9	0.116370808678501	59	64	17	0	0.08684687942692	1
"Regulation of Rheb GTPase activity by AMPK"	"Regulation of Rheb GTPase activity by AMPK"	10	10	9	0.9	0.0453648915187377	23	24	6	0	0.124166481267184	1
"Regulation of signaling by NODAL"	"Regulation of signaling by NODAL"	10	10	9	0.9	0.0414201183431953	21	21	8	0	0.124166481267184	1
"Role of second messengers in netrin-1 signaling"	"Role of second messengers in netrin-1 signaling"	10	10	9	0.9	0.134122287968442	68	80	23	0	0.124166481267184	1
"Signaling by Hippo"	"Signaling by Hippo"	20	20	18	0.9	0.108481262327416	55	67	10	0	0.08684687942692	1
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"	"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"	20	20	18	0.9	0.0749506903353057	38	43	10	0	0.08684687942692	1
"TRIF-mediated programmed cell death"	"TRIF-mediated programmed cell death"	10	10	9	0.9	0.136094674556213	69	73	42	0	0.124166481267184	1
"Zinc influx into cells by the SLC39 gene family"	"Zinc influx into cells by the SLC39 gene family"	10	10	9	0.9	0.0433925049309665	22	24	5	0	0.124166481267184	1
"Chromatin modifying enzymes"	"Chromatin modifying enzymes"	208	208	187	0.899038461538462	0.719921104536489	365	975	53	0	0.000163677918725069	0.00690044775437383
"Chromatin organization"	"Chromatin organization"	208	208	187	0.899038461538462	0.719921104536489	365	975	53	0	0.000163677918725069	0.00690044775437383
"Cell surface interactions at the vascular wall"	"Cell surface interactions at the vascular wall"	99	99	89	0.898989898989899	0.504930966469428	256	444	85	0	0.0057806978934174	0.200928388025719
"PIWI-interacting RNA (piRNA) biogenesis"	"PIWI-interacting RNA (piRNA) biogenesis"	29	29	26	0.896551724137931	0.165680473372781	84	104	12	0	0.0695682719049175	1
"PKMTs methylate histone lysines"	"PKMTs methylate histone lysines"	29	29	26	0.896551724137931	0.378698224852071	192	268	53	0	0.0695682719049175	1
"Regulation of Glucokinase by Glucokinase Regulatory Protein"	"Regulation of Glucokinase by Glucokinase Regulatory Protein"	29	29	26	0.896551724137931	0.16370808678501	83	110	11	0	0.0695682719049175	1
"Transferrin endocytosis and recycling"	"Transferrin endocytosis and recycling"	29	29	26	0.896551724137931	0.0986193293885602	50	69	6	0	0.0695682719049175	1
"YAP1- and WWTR1 (TAZ)-stimulated gene expression"	"YAP1- and WWTR1 (TAZ)-stimulated gene expression"	29	29	26	0.896551724137931	0.211045364891519	107	139	29	0	0.0695682719049175	1
"Ephrin signaling"	"Ephrin signaling"	19	19	17	0.894736842105263	0.138067061143984	70	78	12	0	0.102621572225036	1
"Glucuronidation"	"Glucuronidation"	19	19	17	0.894736842105263	0.120315581854043	61	70	12	0	0.102621572225036	1
"Other semaphorin interactions"	"Other semaphorin interactions"	19	19	17	0.894736842105263	0.21301775147929	108	144	21	0	0.102621572225036	1
"Axon guidance"	"Axon guidance"	327	327	292	0.892966360856269	0.899408284023669	456	2015	28	0	1.57435024834562e-05	0.000742797545080469
"Endosomal Sorting Complex Required For Transport (ESCRT)"	"Endosomal Sorting Complex Required For Transport (ESCRT)"	28	28	25	0.892857142857143	0.0690335305719921	35	42	5	0	0.0807004237100531	1
"Interleukin receptor SHC signaling"	"Interleukin receptor SHC signaling"	28	28	25	0.892857142857143	0.323471400394477	164	199	85	0	0.0807004237100531	1
"PKB-mediated events"	"PKB-mediated events"	28	28	25	0.892857142857143	0.149901380670611	76	89	15	0	0.0807004237100531	1
"Cell-Cell communication"	"Cell-Cell communication"	130	130	116	0.892307692307692	0.694280078895464	352	825	85	0	0.00421237789897111	0.153777632595526
"Platelet Aggregation (Plug Formation)"	"Platelet Aggregation (Plug Formation)"	37	37	33	0.891891891891892	0.248520710059172	126	160	19	0	0.0630440506573184	1
"p75 NTR receptor-mediated signalling"	"p75 NTR receptor-mediated signalling"	83	83	74	0.891566265060241	0.449704142011834	228	390	32	0	0.0167462430852645	0.508976589462501
"IGF1R signaling cascade"	"IGF1R signaling cascade"	92	92	82	0.891304347826087	0.485207100591716	246	389	85	0	0.0132550714969313	0.421491794753748
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	92	92	82	0.891304347826087	0.485207100591716	246	389	85	0	0.0132550714969313	0.421491794753748
"Glycogen storage diseases"	"Glycogen storage diseases"	257	257	229	0.891050583657588	0.712031558185404	361	901	44	0	0.00016011236605451	0.00679396070482812
"Metabolism of carbohydrates"	"Metabolism of carbohydrates"	257	257	229	0.891050583657588	0.712031558185404	361	901	44	0	0.00016011236605451	0.00679396070482812
"Myoclonic epilepsy of Lafora"	"Myoclonic epilepsy of Lafora"	257	257	229	0.891050583657588	0.712031558185404	361	901	44	0	0.00016011236605451	0.00679396070482812
"Transmission across Chemical Synapses"	"Transmission across Chemical Synapses"	201	201	179	0.890547263681592	0.708086785009862	359	970	28	0	0.000765752387166696	0.0313723136368676
"AKT phosphorylates targets in the nucleus"	"AKT phosphorylates targets in the nucleus"	9	9	8	0.888888888888889	0.0453648915187377	23	23	7	0	0.152990126126492	1
"Activation of SMO"	"Activation of SMO"	18	18	16	0.888888888888889	0.124260355029586	63	70	13	0	0.121034832421886	1
"Dopamine Neurotransmitter Release Cycle"	"Dopamine Neurotransmitter Release Cycle"	18	18	16	0.888888888888889	0.16370808678501	83	96	20	0	0.121034832421886	1
"EGFR Transactivation by Gastrin"	"EGFR Transactivation by Gastrin"	9	9	8	0.888888888888889	0.108481262327416	55	59	28	0	0.152990126126492	1
"ERK2 activation"	"ERK2 activation"	9	9	8	0.888888888888889	0.0769230769230769	39	40	8	0	0.152990126126492	1
"Folding of actin by CCT/TriC"	"Folding of actin by CCT/TriC"	9	9	8	0.888888888888889	0.0394477317554241	20	20	5	0	0.152990126126492	1
"Gamma carboxylation, hypusine formation and arylsulfatase activation"	"Gamma carboxylation, hypusine formation and arylsulfatase activation"	36	36	32	0.888888888888889	0.138067061143984	70	87	10	0	0.0722323137202296	1
"Inactivation of Cdc42 and Rac"	"Inactivation of Cdc42 and Rac"	9	9	8	0.888888888888889	0.120315581854043	61	69	23	0	0.152990126126492	1
"Interleukin-3, 5 and GM-CSF signaling"	"Interleukin-3, 5 and GM-CSF signaling"	45	45	40	0.888888888888889	0.3767258382643	191	246	85	0	0.0560776429313871	1
"Metabolism of folate and pterines"	"Metabolism of folate and pterines"	9	9	8	0.888888888888889	0.0355029585798817	18	19	5	0	0.152990126126492	1
"Norepinephrine Neurotransmitter Release Cycle"	"Norepinephrine Neurotransmitter Release Cycle"	18	18	16	0.888888888888889	0.159763313609467	81	96	20	0	0.121034832421886	1
"Opsins"	"Opsins"	9	9	8	0.888888888888889	0.0315581854043393	16	17	3	0	0.152990126126492	1
"Phenylalanine and tyrosine catabolism"	"Phenylalanine and tyrosine catabolism"	9	9	8	0.888888888888889	0.0394477317554241	20	20	5	0	0.152990126126492	1
"Pre-NOTCH Processing in Golgi"	"Pre-NOTCH Processing in Golgi"	18	18	16	0.888888888888889	0.238658777120316	121	138	66	0	0.121034832421886	1
"Regulation of gene expression by Hypoxia-inducible Factor"	"Regulation of gene expression by Hypoxia-inducible Factor"	9	9	8	0.888888888888889	0.161735700197239	82	86	32	0	0.152990126126492	1
"Role of Abl in Robo-Slit signaling"	"Role of Abl in Robo-Slit signaling"	9	9	8	0.888888888888889	0.108481262327416	55	61	23	0	0.152990126126492	1
"S6K1-mediated signalling"	"S6K1-mediated signalling"	9	9	8	0.888888888888889	0.0828402366863905	42	43	15	0	0.152990126126492	1
"Sema4D in semaphorin signaling"	"Sema4D in semaphorin signaling"	27	27	24	0.888888888888889	0.22879684418146	116	153	17	0	0.0934382189435308	1
"Serotonin Neurotransmitter Release Cycle"	"Serotonin Neurotransmitter Release Cycle"	18	18	16	0.888888888888889	0.16370808678501	83	96	20	0	0.121034832421886	1
"Signaling by FGFR mutants"	"Signaling by FGFR mutants"	45	45	40	0.888888888888889	0.370808678500986	188	242	85	0	0.0560776429313871	1
"Sodium/Proton exchangers"	"Sodium/Proton exchangers"	9	9	8	0.888888888888889	0.0493096646942801	25	25	6	0	0.152990126126492	1
"Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)"	"Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)"	9	9	8	0.888888888888889	0.0690335305719921	35	35	8	0	0.152990126126492	1
"Synthesis of PIPs at the Golgi membrane"	"Synthesis of PIPs at the Golgi membrane"	18	18	16	0.888888888888889	0.136094674556213	69	74	16	0	0.121034832421886	1
"Synthesis of bile acids and bile salts"	"Synthesis of bile acids and bile salts"	27	27	24	0.888888888888889	0.140039447731755	71	87	8	0	0.0934382189435308	1
"Type I hemidesmosome assembly"	"Type I hemidesmosome assembly"	9	9	8	0.888888888888889	0.175542406311637	89	110	34	0	0.152990126126492	1
"Urea cycle"	"Urea cycle"	9	9	8	0.888888888888889	0.0493096646942801	25	26	11	0	0.152990126126492	1
"mTOR signalling"	"mTOR signalling"	27	27	24	0.888888888888889	0.14792899408284	75	87	15	0	0.0934382189435308	1
"IRS-related events triggered by IGF1R"	"IRS-related events triggered by IGF1R"	89	89	79	0.887640449438202	0.473372781065089	240	377	85	0	0.0186462394304396	0.56150082520738
"Regulation of PLK1 Activity at G2/M Transition"	"Regulation of PLK1 Activity at G2/M Transition"	80	80	71	0.8875	0.42603550295858	216	353	28	0	0.0236879966713655	0.684918300450443
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	97	97	86	0.88659793814433	0.382642998027613	194	301	12	0	0.016424046912628	0.500347525715634
"FRS2-mediated cascade"	"FRS2-mediated cascade"	44	44	39	0.886363636363636	0.242603550295858	123	141	28	0	0.0637094892098882	1
"Generic Transcription Pathway"	"Generic Transcription Pathway"	483	483	428	0.886128364389234	0.838264299802761	425	1891	66	0	1.86526648082719e-06	8.99539972923951e-05
"Signaling by PDGF"	"Signaling by PDGF"	184	184	163	0.885869565217391	0.763313609467456	387	964	85	0	0.002205698838735	0.0821273802936273
"HATs acetylate histones"	"HATs acetylate histones"	105	105	93	0.885714285714286	0.45956607495069	233	366	32	0	0.0144451048511889	0.454165221116729
"VEGFA-VEGFR2 Pathway"	"VEGFA-VEGFR2 Pathway"	105	105	93	0.885714285714286	0.57396449704142	291	547	85	0	0.0144451048511889	0.454165221116729
"Cell death signalling via NRAGE, NRIF and NADE"	"Cell death signalling via NRAGE, NRIF and NADE"	61	61	54	0.885245901639344	0.378698224852071	192	291	32	0	0.0433750835751494	1
"Downregulation of TGF-beta receptor signaling"	"Downregulation of TGF-beta receptor signaling"	26	26	23	0.884615384615385	0.157790927021696	80	92	20	0	0.107971279038743	1
"VEGFR2 mediated vascular permeability"	"VEGFR2 mediated vascular permeability"	26	26	23	0.884615384615385	0.167652859960552	85	102	12	0	0.107971279038743	1
"Ion transport by P-type ATPases"	"Ion transport by P-type ATPases"	43	43	38	0.883720930232558	0.315581854043393	160	239	21	0	0.0722603217627542	1
"ABCA transporters in lipid homeostasis"	"ABCA transporters in lipid homeostasis"	17	17	15	0.882352941176471	0.165680473372781	84	104	14	0	0.142461012026071	1
"Energy dependent regulation of mTOR by LKB1-AMPK"	"Energy dependent regulation of mTOR by LKB1-AMPK"	17	17	15	0.882352941176471	0.0808678500986193	41	45	6	0	0.142461012026071	1
"IRS-mediated signalling"	"IRS-mediated signalling"	85	85	75	0.882352941176471	0.467455621301775	237	354	85	0	0.0289636615958049	0.817563219942694
"Nuclear Receptor transcription pathway"	"Nuclear Receptor transcription pathway"	51	51	45	0.882352941176471	0.199211045364892	101	142	11	0	0.0629268102302352	1
"PKA activation in glucagon signalling"	"PKA activation in glucagon signalling"	17	17	15	0.882352941176471	0.205128205128205	104	121	25	0	0.142461012026071	1
"PLCG1 events in ERBB2 signaling"	"PLCG1 events in ERBB2 signaling"	34	34	30	0.882352941176471	0.345167652859961	175	242	25	0	0.0943064929273419	1
"activated TAK1 mediates p38 MAPK activation"	"activated TAK1 mediates p38 MAPK activation"	17	17	15	0.882352941176471	0.0946745562130177	48	52	7	0	0.142461012026071	1
"Insulin receptor signalling cascade"	"Insulin receptor signalling cascade"	92	92	81	0.880434782608696	0.479289940828402	243	372	85	0	0.0280844080123694	0.799652796080262
"Basigin interactions"	"Basigin interactions"	25	25	22	0.88	0.100591715976331	51	60	9	0	0.124501104357667	1
"Signaling by Insulin receptor"	"Signaling by Insulin receptor"	116	116	102	0.879310344827586	0.502958579881657	255	419	85	0	0.0185727504234307	0.560579482452969
"EGFR interacts with phospholipase C-gamma"	"EGFR interacts with phospholipase C-gamma"	33	33	29	0.878787878787879	0.333333333333333	169	234	25	0	0.107445923743179	1
"PLC-gamma1 signalling"	"PLC-gamma1 signalling"	33	33	29	0.878787878787879	0.317554240631164	161	218	25	0	0.107445923743179	1
"Transport of Ribonucleoproteins into the Host Nucleus"	"Transport of Ribonucleoproteins into the Host Nucleus"	33	33	29	0.878787878787879	0.181459566074951	92	124	11	0	0.107445923743179	1
"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	140	140	123	0.878571428571429	0.631163708086785	320	711	28	0	0.0123100427711218	0.398223668272963
"Signaling by EGFR in Cancer"	"Signaling by EGFR in Cancer"	181	181	159	0.878453038674033	0.714003944773176	362	829	85	0	0.00567307555274199	0.197713430483528
"Signaling by EGFRvIII in Cancer"	"Signaling by EGFRvIII in Cancer"	181	181	159	0.878453038674033	0.714003944773176	362	829	85	0	0.00567307555274199	0.197713430483528
"Signaling by Ligand-Responsive EGFR Variants in Cancer"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	181	181	159	0.878453038674033	0.714003944773176	362	829	85	0	0.00567307555274199	0.197713430483528
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	57	57	50	0.87719298245614	0.439842209072978	223	343	66	0	0.0685798999216276	1
"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	57	57	50	0.87719298245614	0.439842209072978	223	343	66	0	0.0685798999216276	1
"G2/M Transition"	"G2/M Transition"	114	114	100	0.87719298245614	0.514792899408284	261	481	32	0	0.0226432874058669	0.666508021688234
"Signaling by EGFR"	"Signaling by EGFR"	179	179	157	0.877094972067039	0.712031558185404	361	823	85	0	0.0068380123159888	0.234559903780403
"Signaling by Overexpressed Wild-Type EGFR in Cancer"	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	179	179	157	0.877094972067039	0.712031558185404	361	823	85	0	0.0068380123159888	0.234559903780403
"Signaling by VEGF"	"Signaling by VEGF"	113	113	99	0.876106194690266	0.591715976331361	300	584	85	0	0.0249669071912968	0.720303320264419
"Transmembrane transport of small molecules"	"Transmembrane transport of small molecules"	618	618	541	0.875404530744337	0.930966469428008	472	2594	51	0	3.96066793384442e-06	0.000189607126721376
"Activation of Matrix Metalloproteinases"	"Activation of Matrix Metalloproteinases"	32	32	28	0.875	0.149901380670611	76	87	10	0	0.122164968849588	1
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	24	24	21	0.875	0.143984220907298	73	101	13	0	0.143238798066669	1
"Beta-oxidation of pristanoyl-CoA"	"Beta-oxidation of pristanoyl-CoA"	8	8	7	0.875	0.0394477317554241	20	20	5	0	0.188499067635728	1
"ChREBP activates metabolic gene expression"	"ChREBP activates metabolic gene expression"	8	8	7	0.875	0.0788954635108481	40	47	17	0	0.188499067635728	1
"Cross-presentation of particulate exogenous antigens (phagosomes)"	"Cross-presentation of particulate exogenous antigens (phagosomes)"	8	8	7	0.875	0.0355029585798817	18	18	5	0	0.188499067635728	1
"Digestion of dietary carbohydrate"	"Digestion of dietary carbohydrate"	8	8	7	0.875	0.165680473372781	84	100	44	0	0.188499067635728	1
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion"	"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion"	8	8	7	0.875	0.0749506903353057	38	40	20	0	0.188499067635728	1
"Free fatty acids regulate insulin secretion"	"Free fatty acids regulate insulin secretion"	8	8	7	0.875	0.0749506903353057	38	40	20	0	0.188499067635728	1
"Hyaluronan metabolism"	"Hyaluronan metabolism"	16	16	14	0.875	0.102564102564103	52	61	15	0	0.167306080597364	1
"Hydrolysis of LPC"	"Hydrolysis of LPC"	8	8	7	0.875	0.0611439842209073	31	31	7	0	0.188499067635728	1
"IRS-related events"	"IRS-related events"	88	88	77	0.875	0.467455621301775	237	358	85	0	0.0423172860551271	1
"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1"	"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1"	16	16	14	0.875	0.0907297830374754	46	52	7	0	0.167306080597364	1
"Ligand-receptor interactions"	"Ligand-receptor interactions"	8	8	7	0.875	0.0769230769230769	39	41	13	0	0.188499067635728	1
"Lysine catabolism"	"Lysine catabolism"	8	8	7	0.875	0.0374753451676529	19	22	6	0	0.188499067635728	1
"MAP kinase activation in TLR cascade"	"MAP kinase activation in TLR cascade"	56	56	49	0.875	0.266272189349112	135	173	10	0	0.0766161545211379	1
"Metabolism of Angiotensinogen to Angiotensins"	"Metabolism of Angiotensinogen to Angiotensins"	16	16	14	0.875	0.120315581854043	61	71	14	0	0.167306080597364	1
"Neurotransmitter Clearance In The Synaptic Cleft"	"Neurotransmitter Clearance In The Synaptic Cleft"	8	8	7	0.875	0.0394477317554241	20	21	6	0	0.188499067635728	1
"Nucleotide-like (purinergic) receptors"	"Nucleotide-like (purinergic) receptors"	16	16	14	0.875	0.0611439842209073	31	33	7	0	0.167306080597364	1
"PKA activation"	"PKA activation"	16	16	14	0.875	0.193293885601578	98	114	25	0	0.167306080597364	1
"Rap1 signalling"	"Rap1 signalling"	16	16	14	0.875	0.0907297830374754	46	47	6	0	0.167306080597364	1
"Recruitment of repair and signaling proteins to double-strand breaks"	"Recruitment of repair and signaling proteins to double-strand breaks"	8	8	7	0.875	0.108481262327416	55	64	14	0	0.188499067635728	1
"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components"	"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components"	8	8	7	0.875	0.0256410256410256	13	13	4	0	0.188499067635728	1
"Regulation of gene expression in early pancreatic precursor cells"	"Regulation of gene expression in early pancreatic precursor cells"	8	8	7	0.875	0.0433925049309665	22	22	7	0	0.188499067635728	1
"Release of Hh-Np from the secreting cell"	"Release of Hh-Np from the secreting cell"	8	8	7	0.875	0.0532544378698225	27	28	10	0	0.188499067635728	1
"Sema4D induced cell migration and growth-cone collapse"	"Sema4D induced cell migration and growth-cone collapse"	24	24	21	0.875	0.209072978303748	106	137	17	0	0.143238798066669	1
"Sema4D mediated inhibition of cell attachment and migration"	"Sema4D mediated inhibition of cell attachment and migration"	8	8	7	0.875	0.0867850098619329	44	49	12	0	0.188499067635728	1
"Signaling by Hedgehog"	"Signaling by Hedgehog"	136	136	119	0.875	0.538461538461538	273	499	25	0	0.0180169181682448	0.546326299780136
"Signaling by Robo receptor"	"Signaling by Robo receptor"	32	32	28	0.875	0.244575936883629	124	167	23	0	0.122164968849588	1
"Sphingolipid de novo biosynthesis"	"Sphingolipid de novo biosynthesis"	32	32	28	0.875	0.140039447731755	71	76	12	0	0.122164968849588	1
"Synthesis of PG"	"Synthesis of PG"	8	8	7	0.875	0.0355029585798817	18	19	11	0	0.188499067635728	1
"TGF-beta receptor signaling activates SMADs"	"TGF-beta receptor signaling activates SMADs"	32	32	28	0.875	0.185404339250493	94	109	20	0	0.122164968849588	1
"TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"	"TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"	16	16	14	0.875	0.118343195266272	60	68	20	0	0.167306080597364	1
"Trafficking of GluR2-containing AMPA receptors"	"Trafficking of GluR2-containing AMPA receptors"	16	16	14	0.875	0.169625246548323	86	99	15	0	0.167306080597364	1
"Transport of fatty acids"	"Transport of fatty acids"	8	8	7	0.875	0.0236686390532544	12	12	3	0	0.188499067635728	1
"VEGFR2 mediated cell proliferation"	"VEGFR2 mediated cell proliferation"	32	32	28	0.875	0.26232741617357	133	171	28	0	0.122164968849588	1
"p75NTR signals via NF-kB"	"p75NTR signals via NF-kB"	16	16	14	0.875	0.0729783037475345	37	41	9	0	0.167306080597364	1
"Nuclear signaling by ERBB4"	"Nuclear signaling by ERBB4"	39	39	34	0.871794871794872	0.218934911242604	111	146	19	0	0.117472132478797	1
"Signaling by ERBB2"	"Signaling by ERBB2"	163	163	142	0.871165644171779	0.694280078895464	352	784	85	0	0.0161607024207289	0.493475205015802
"Signalling by NGF"	"Signalling by NGF"	287	287	250	0.871080139372822	0.824457593688363	418	1305	85	0	0.00250436281155508	0.0927195707868677
"DAG and IP3 signaling"	"DAG and IP3 signaling"	31	31	27	0.870967741935484	0.309664694280079	157	214	25	0	0.138601499421303	1
"HS-GAG biosynthesis"	"HS-GAG biosynthesis"	31	31	27	0.870967741935484	0.165680473372781	84	99	17	0	0.138601499421303	1
"NOD1/2 Signaling Pathway"	"NOD1/2 Signaling Pathway"	31	31	27	0.870967741935484	0.218934911242604	111	138	42	0	0.138601499421303	1
"Nuclear import of Rev protein"	"Nuclear import of Rev protein"	31	31	27	0.870967741935484	0.167652859960552	85	112	11	0	0.138601499421303	1
"Mitotic G2-G2/M phases"	"Mitotic G2-G2/M phases"	116	116	101	0.870689655172414	0.516765285996055	262	483	32	0	0.0346799857460773	0.968460537742473
"Cell junction organization"	"Cell junction organization"	85	85	74	0.870588235294118	0.493096646942801	250	469	34	0	0.0568642861230059	1
"Signaling by ERBB4"	"Signaling by ERBB4"	154	154	134	0.87012987012987	0.629191321499014	319	648	85	0	0.0202995263159824	0.602951110280385
"Signaling by FGFR in disease"	"Signaling by FGFR in disease"	177	177	154	0.870056497175141	0.70414201183432	357	841	85	0	0.0145258409274627	0.454165221116729
