"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"VEGFA-VEGFR2 Pathway"	"VEGFA-VEGFR2 Pathway"	105	105	54	0.514285714285714	0.542372881355932	64	116	20	0	0.0133025235382868	1
"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	39	39	20	0.512820512820513	0.322033898305085	38	48	7	0	0.0760733812527954	1
"Developmental Biology"	"Developmental Biology"	519	519	266	0.51252408477842	0.932203389830508	110	594	23	0	7.80623709784045e-07	0.000262316735979459
"NOTCH1 Intracellular Domain Regulates Transcription"	"NOTCH1 Intracellular Domain Regulates Transcription"	47	47	24	0.51063829787234	0.415254237288136	49	74	23	0	0.0653135302688947	1
"GPVI-mediated activation cascade"	"GPVI-mediated activation cascade"	49	49	25	0.510204081632653	0.38135593220339	45	61	20	0	0.0628573260736398	1
"Pre-NOTCH Expression and Processing"	"Pre-NOTCH Expression and Processing"	57	57	29	0.508771929824561	0.864406779661017	102	167	87	0	0.0539103503553848	1
"Neuronal System"	"Neuronal System"	280	280	142	0.507142857142857	0.771186440677966	91	253	7	0	0.000459109885511122	0.0967499208299931
"Platelet homeostasis"	"Platelet homeostasis"	79	79	40	0.506329113924051	0.415254237288136	49	67	6	0	0.0354013778477573	1
"Anchoring of the basal body to the plasma membrane"	"Anchoring of the basal body to the plasma membrane"	89	89	45	0.50561797752809	0.440677966101695	52	78	5	0	0.0292866657647484	1
"Signaling by PDGF"	"Signaling by PDGF"	184	184	93	0.505434782608696	0.73728813559322	87	206	20	0	0.0040378484592547	0.517564246431894
"Abacavir transport and metabolism"	"Abacavir transport and metabolism"	10	10	5	0.5	0.0508474576271186	6	6	2	0	0.187795875371228	1
"Acetylcholine regulates insulin secretion"	"Acetylcholine regulates insulin secretion"	10	10	5	0.5	0.0423728813559322	5	6	2	0	0.187795875371228	1
"Activated NOTCH1 Transmits Signal to the Nucleus"	"Activated NOTCH1 Transmits Signal to the Nucleus"	30	30	15	0.5	0.305084745762712	36	41	23	0	0.123337683487587	1
"Activation and oligomerization of BAK protein"	"Activation and oligomerization of BAK protein"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Activation of Ca-permeable Kainate Receptor"	"Activation of Ca-permeable Kainate Receptor"	10	10	5	0.5	0.0508474576271186	6	6	2	0	0.187795875371228	1
"Activation of NOXA and translocation to mitochondria"	"Activation of NOXA and translocation to mitochondria"	4	4	2	0.5	0.73728813559322	87	88	87	0	0.193871821031269	1
"Activation of Na-permeable Kainate Receptors"	"Activation of Na-permeable Kainate Receptors"	2	2	1	0.5	0.0169491525423729	2	2	2	0	0.170147461903084	1
"Activation of PUMA and translocation to mitochondria"	"Activation of PUMA and translocation to mitochondria"	4	4	2	0.5	0.73728813559322	87	88	87	0	0.193871821031269	1
"Activation, translocation and oligomerization of BAX"	"Activation, translocation and oligomerization of BAX"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Alpha-oxidation of phytanate"	"Alpha-oxidation of phytanate"	4	4	2	0.5	0.0254237288135593	3	3	2	0	0.193871821031269	1
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Amplification of signal from the kinetochores"	"Amplification of signal from the kinetochores"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks"	"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks"	4	4	2	0.5	0.0169491525423729	2	2	1	0	0.193871821031269	1
"Axonal growth inhibition (RHOA activation)"	"Axonal growth inhibition (RHOA activation)"	8	8	4	0.5	0.0508474576271186	6	6	2	0	0.193550043686345	1
"Cam-PDE 1 activation"	"Cam-PDE 1 activation"	4	4	2	0.5	0.0423728813559322	5	5	4	0	0.193871821031269	1
"Catecholamine biosynthesis"	"Catecholamine biosynthesis"	4	4	2	0.5	0.0254237288135593	3	3	2	0	0.193871821031269	1
"Class C/3 (Metabotropic glutamate/pheromone receptors)"	"Class C/3 (Metabotropic glutamate/pheromone receptors)"	40	40	20	0.5	0.228813559322034	27	37	7	0	0.0996503476066157	1
"Classical Kir channels"	"Classical Kir channels"	4	4	2	0.5	0.0254237288135593	3	3	2	0	0.193871821031269	1
"Creatine metabolism"	"Creatine metabolism"	10	10	5	0.5	0.0508474576271186	6	6	2	0	0.187795875371228	1
"Cysteine formation from homocysteine"	"Cysteine formation from homocysteine"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Cytochrome P450 - arranged by substrate type"	"Cytochrome P450 - arranged by substrate type"	60	60	30	0.5	0.271186440677966	32	42	4	0	0.0659645087481483	1
"DNA Damage Bypass"	"DNA Damage Bypass"	4	4	2	0.5	0.0254237288135593	3	3	2	0	0.193871821031269	1
"DNA Damage Recognition in GG-NER"	"DNA Damage Recognition in GG-NER"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Downregulation of ERBB4 signaling"	"Downregulation of ERBB4 signaling"	8	8	4	0.5	0.0932203389830508	11	11	6	0	0.193550043686345	1
"Dual incision reaction in GG-NER"	"Dual incision reaction in GG-NER"	20	20	10	0.5	0.135593220338983	16	18	4	0	0.153205547917554	1
"FBXW7 Mutants and NOTCH1 in Cancer"	"FBXW7 Mutants and NOTCH1 in Cancer"	72	72	36	0.5	0.449152542372881	53	89	23	0	0.0518753142262572	1
"FGFR2b ligand binding and activation"	"FGFR2b ligand binding and activation"	6	6	3	0.5	0.0423728813559322	5	5	2	0	0.196877807866458	1
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion"	"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion"	8	8	4	0.5	0.0338983050847458	4	5	2	0	0.193550043686345	1
"Fibronectin matrix formation"	"Fibronectin matrix formation"	6	6	3	0.5	0.0677966101694915	8	8	6	0	0.196877807866458	1
"Formation of incision complex in GG-NER"	"Formation of incision complex in GG-NER"	20	20	10	0.5	0.135593220338983	16	18	4	0	0.153205547917554	1
"Formation of the Editosome"	"Formation of the Editosome"	2	2	1	0.5	0.0169491525423729	2	2	2	0	0.170147461903084	1
"Free fatty acids regulate insulin secretion"	"Free fatty acids regulate insulin secretion"	8	8	4	0.5	0.0338983050847458	4	5	2	0	0.193550043686345	1
"Glucocorticoid biosynthesis"	"Glucocorticoid biosynthesis"	8	8	4	0.5	0.0423728813559322	5	5	2	0	0.193550043686345	1
"HCN channels"	"HCN channels"	4	4	2	0.5	0.0423728813559322	5	5	4	0	0.193871821031269	1
"Histamine receptors"	"Histamine receptors"	4	4	2	0.5	0.0169491525423729	2	2	1	0	0.193871821031269	1
"HuR stabilizes mRNA"	"HuR stabilizes mRNA"	8	8	4	0.5	0.0508474576271186	6	6	3	0	0.193550043686345	1
"Hydrolysis of LPC"	"Hydrolysis of LPC"	8	8	4	0.5	0.0508474576271186	6	6	2	0	0.193550043686345	1
"Hydrolysis of LPE"	"Hydrolysis of LPE"	2	2	1	0.5	0.0169491525423729	2	2	2	0	0.170147461903084	1
"IRAK2 mediated activation of TAK1 complex"	"IRAK2 mediated activation of TAK1 complex"	10	10	5	0.5	0.0508474576271186	6	6	2	0	0.187795875371228	1
"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	10	10	5	0.5	0.0508474576271186	6	6	2	0	0.187795875371228	1
"IRS activation"	"IRS activation"	6	6	3	0.5	0.0254237288135593	3	3	1	0	0.196877807866458	1
"Interleukin receptor SHC signaling"	"Interleukin receptor SHC signaling"	28	28	14	0.5	0.330508474576271	39	46	20	0	0.128783274810852	1
"Ionotropic activity of Kainate Receptors"	"Ionotropic activity of Kainate Receptors"	10	10	5	0.5	0.0508474576271186	6	6	2	0	0.187795875371228	1
"LDL-mediated lipid transport"	"LDL-mediated lipid transport"	6	6	3	0.5	0.0847457627118644	10	11	6	0	0.196877807866458	1
"Lectin pathway of complement activation"	"Lectin pathway of complement activation"	6	6	3	0.5	0.0254237288135593	3	3	1	0	0.196877807866458	1
"MASTL Facilitates Mitotic Progression"	"MASTL Facilitates Mitotic Progression"	10	10	5	0.5	0.0508474576271186	6	6	2	0	0.187795875371228	1
"MRN complex relocalizes to nuclear foci"	"MRN complex relocalizes to nuclear foci"	4	4	2	0.5	0.0169491525423729	2	2	1	0	0.193871821031269	1
"Metabolism of Angiotensinogen to Angiotensins"	"Metabolism of Angiotensinogen to Angiotensins"	16	16	8	0.5	0.144067796610169	17	19	5	0	0.16691889895781	1
"Mineralocorticoid biosynthesis"	"Mineralocorticoid biosynthesis"	6	6	3	0.5	0.0254237288135593	3	3	1	0	0.196877807866458	1
"Miscellaneous substrates"	"Miscellaneous substrates"	12	12	6	0.5	0.0847457627118644	10	11	4	0	0.181069205524133	1
"Mitotic Metaphase/Anaphase Transition"	"Mitotic Metaphase/Anaphase Transition"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Multifunctional anion exchangers"	"Multifunctional anion exchangers"	6	6	3	0.5	0.0593220338983051	7	7	4	0	0.196877807866458	1
"N-glycan antennae elongation in the medial/trans-Golgi"	"N-glycan antennae elongation in the medial/trans-Golgi"	20	20	10	0.5	0.0847457627118644	10	10	1	0	0.153205547917554	1
"NOTCH2 intracellular domain regulates transcription"	"NOTCH2 intracellular domain regulates transcription"	12	12	6	0.5	0.161016949152542	19	20	7	0	0.181069205524133	1
"Na+-dependent glucose transporters"	"Na+-dependent glucose transporters"	6	6	3	0.5	0.0423728813559322	5	5	3	0	0.196877807866458	1
"Negative regulation of the PI3K/AKT network"	"Negative regulation of the PI3K/AKT network"	8	8	4	0.5	0.076271186440678	9	10	3	0	0.193550043686345	1
"Organic cation transport"	"Organic cation transport"	8	8	4	0.5	0.0593220338983051	7	7	3	0	0.193550043686345	1
"PKB-mediated events"	"PKB-mediated events"	28	28	14	0.5	0.144067796610169	17	19	3	0	0.128783274810852	1
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation"	"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation"	10	10	5	0.5	0.0423728813559322	5	5	1	0	0.187795875371228	1
"Plasmalogen biosynthesis"	"Plasmalogen biosynthesis"	4	4	2	0.5	0.0254237288135593	3	4	2	0	0.193871821031269	1
"Presynaptic phase of homologous DNA pairing and strand exchange"	"Presynaptic phase of homologous DNA pairing and strand exchange"	6	6	3	0.5	0.0423728813559322	5	5	2	0	0.196877807866458	1
"Proton/oligonucleotide cotransporters"	"Proton/oligonucleotide cotransporters"	4	4	2	0.5	0.0169491525423729	2	2	1	0	0.193871821031269	1
"Purine catabolism"	"Purine catabolism"	10	10	5	0.5	0.0593220338983051	7	7	3	0	0.187795875371228	1
"Pyrophosphate hydrolysis"	"Pyrophosphate hydrolysis"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Regulation of beta-cell development"	"Regulation of beta-cell development"	32	32	16	0.5	0.338983050847458	40	42	23	0	0.118142328639053	1
"Regulation of gene expression in early pancreatic precursor cells"	"Regulation of gene expression in early pancreatic precursor cells"	8	8	4	0.5	0.0338983050847458	4	4	1	0	0.193550043686345	1
"Release of eIF4E"	"Release of eIF4E"	6	6	3	0.5	0.0423728813559322	5	5	3	0	0.196877807866458	1
"Response to elevated platelet cytosolic Ca2+"	"Response to elevated platelet cytosolic Ca2+"	84	84	42	0.5	0.576271186440678	68	118	47	0	0.0409635757860343	1
"Reversal of Alkylation Damage By DNA Dioxygenases"	"Reversal of Alkylation Damage By DNA Dioxygenases"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"SHC activation"	"SHC activation"	4	4	2	0.5	0.0169491525423729	2	2	1	0	0.193871821031269	1
"Sema4D induced cell migration and growth-cone collapse"	"Sema4D induced cell migration and growth-cone collapse"	24	24	12	0.5	0.203389830508475	24	30	6	0	0.140459751646499	1
"Signaling by NOTCH1"	"Signaling by NOTCH1"	72	72	36	0.5	0.449152542372881	53	89	23	0	0.0518753142262572	1
"Signaling by NOTCH1 HD Domain Mutants in Cancer"	"Signaling by NOTCH1 HD Domain Mutants in Cancer"	72	72	36	0.5	0.449152542372881	53	89	23	0	0.0518753142262572	1
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	72	72	36	0.5	0.449152542372881	53	89	23	0	0.0518753142262572	1
"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	72	72	36	0.5	0.449152542372881	53	89	23	0	0.0518753142262572	1
"Signaling by NOTCH1 in Cancer"	"Signaling by NOTCH1 in Cancer"	72	72	36	0.5	0.449152542372881	53	89	23	0	0.0518753142262572	1
"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	72	72	36	0.5	0.449152542372881	53	89	23	0	0.0518753142262572	1
"Sterols are 12-hydroxylated by CYP8B1"	"Sterols are 12-hydroxylated by CYP8B1"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Stimulation of the cell death response by PAK-2p34"	"Stimulation of the cell death response by PAK-2p34"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Synthesis of 12-eicosatetraenoic acid derivatives"	"Synthesis of 12-eicosatetraenoic acid derivatives"	6	6	3	0.5	0.0169491525423729	2	3	1	0	0.196877807866458	1
"Synthesis of PG"	"Synthesis of PG"	8	8	4	0.5	0.0338983050847458	4	4	1	0	0.193550043686345	1
"Synthesis of PI"	"Synthesis of PI"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Synthesis of PIPs at the late endosome membrane"	"Synthesis of PIPs at the late endosome membrane"	10	10	5	0.5	0.0423728813559322	5	5	1	0	0.187795875371228	1
"Synthesis of PS"	"Synthesis of PS"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"TET1,2,3 and TDG demethylate DNA"	"TET1,2,3 and TDG demethylate DNA"	4	4	2	0.5	0.0338983050847458	4	4	3	0	0.193871821031269	1
"TRAF6 mediated induction of TAK1 complex"	"TRAF6 mediated induction of TAK1 complex"	16	16	8	0.5	0.110169491525424	13	14	4	0	0.16691889895781	1
"TRKA activation by NGF"	"TRKA activation by NGF"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"TWIK-related alkaline pH activated K+ channel (TALK)"	"TWIK-related alkaline pH activated K+ channel (TALK)"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Termination of O-glycan biosynthesis"	"Termination of O-glycan biosynthesis"	26	26	13	0.5	0.364406779661017	43	55	24	0	0.13448832332808	1
"Transcriptional  activation of  cell cycle inhibitor p21"	"Transcriptional  activation of  cell cycle inhibitor p21"	2	2	1	0.5	0.73728813559322	87	87	87	0	0.170147461903084	1
"Transcriptional activation of p53 responsive genes"	"Transcriptional activation of p53 responsive genes"	2	2	1	0.5	0.73728813559322	87	87	87	0	0.170147461903084	1
"Translesion synthesis by DNA polymerases bypassing lesion on DNA template"	"Translesion synthesis by DNA polymerases bypassing lesion on DNA template"	4	4	2	0.5	0.0254237288135593	3	3	2	0	0.193871821031269	1
"Translesion synthesis by Pol zeta"	"Translesion synthesis by Pol zeta"	2	2	1	0.5	0.0169491525423729	2	2	2	0	0.170147461903084	1
"Transmembrane transport of small molecules"	"Transmembrane transport of small molecules"	618	618	309	0.5	0.932203389830508	110	536	13	0	1.92936541421052e-06	0.000631272511228393
"Transport of glycerol from adipocytes to the liver by Aquaporins"	"Transport of glycerol from adipocytes to the liver by Aquaporins"	2	2	1	0.5	0.00847457627118644	1	1	1	0	0.170147461903084	1
"Triglyceride Biosynthesis"	"Triglyceride Biosynthesis"	42	42	21	0.5	0.245762711864407	29	35	6	0	0.0955458008150221	1
"Uptake and function of diphtheria toxin"	"Uptake and function of diphtheria toxin"	6	6	3	0.5	0.0338983050847458	4	4	2	0	0.196877807866458	1
"VEGF binds to VEGFR leading to receptor dimerization"	"VEGF binds to VEGFR leading to receptor dimerization"	8	8	4	0.5	0.076271186440678	9	9	4	0	0.193550043686345	1
"VEGF ligand-receptor interactions"	"VEGF ligand-receptor interactions"	8	8	4	0.5	0.076271186440678	9	9	4	0	0.193550043686345	1
"Vasopressin-like receptors"	"Vasopressin-like receptors"	6	6	3	0.5	0.0593220338983051	7	7	3	0	0.196877807866458	1
"Vitamin B5 (pantothenate) metabolism"	"Vitamin B5 (pantothenate) metabolism"	12	12	6	0.5	0.0593220338983051	7	7	2	0	0.181069205524133	1
"WNT mediated activation of DVL"	"WNT mediated activation of DVL"	8	8	4	0.5	0.0593220338983051	7	7	3	0	0.193550043686345	1
"Zinc influx into cells by the SLC39 gene family"	"Zinc influx into cells by the SLC39 gene family"	10	10	5	0.5	0.0423728813559322	5	5	1	0	0.187795875371228	1
"cRNA Synthesis"	"cRNA Synthesis"	4	4	2	0.5	0.0254237288135593	3	3	2	0	0.193871821031269	1
"mRNA Editing: C to U Conversion"	"mRNA Editing: C to U Conversion"	2	2	1	0.5	0.0169491525423729	2	2	2	0	0.170147461903084	1
"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	8	8	4	0.5	0.0423728813559322	5	5	2	0	0.193550043686345	1
"vRNA Synthesis"	"vRNA Synthesis"	4	4	2	0.5	0.0254237288135593	3	3	2	0	0.193871821031269	1
"vRNP Assembly"	"vRNP Assembly"	6	6	3	0.5	0.0338983050847458	4	4	2	0	0.196877807866458	1
"Transmission across Chemical Synapses"	"Transmission across Chemical Synapses"	201	201	100	0.497512437810945	0.652542372881356	77	180	7	0	0.00559543245702532	0.632451108990074
"Signaling by FGFR in disease"	"Signaling by FGFR in disease"	177	177	88	0.497175141242938	0.720338983050847	85	185	20	0	0.00872871718543289	0.879533708820505
"Potassium Channels"	"Potassium Channels"	99	99	49	0.494949494949495	0.457627118644068	54	79	4	0	0.0383427149628053	1
"Signalling by NGF"	"Signalling by NGF"	287	287	141	0.491289198606272	0.771186440677966	91	280	20	0	0.00250341473953197	0.360088166636286
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	57	57	28	0.491228070175439	0.415254237288136	49	79	23	0	0.0898053411358606	1
"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	57	57	28	0.491228070175439	0.415254237288136	49	79	23	0	0.0898053411358606	1
"Downstream signal transduction"	"Downstream signal transduction"	161	161	79	0.490683229813665	0.694915254237288	82	173	20	0	0.0176420291933375	1
"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	53	53	26	0.490566037735849	0.322033898305085	38	49	7	0	0.0978163890643168	1
"Regulation of PLK1 Activity at G2/M Transition"	"Regulation of PLK1 Activity at G2/M Transition"	80	80	39	0.4875	0.449152542372881	53	73	9	0	0.0697504189048821	1
"Nuclear signaling by ERBB4"	"Nuclear signaling by ERBB4"	39	39	19	0.487179487179487	0.220338983050847	26	31	6	0	0.133297271456824	1
"Assembly of the primary cilium"	"Assembly of the primary cilium"	179	179	87	0.486033519553073	0.635593220338983	75	146	6	0	0.0184344847123799	1
"NEP/NS2 Interacts with the Cellular Export Machinery"	"NEP/NS2 Interacts with the Cellular Export Machinery"	35	35	17	0.485714285714286	0.203389830508475	24	29	4	0	0.146189231420835	1
"Post NMDA receptor activation events"	"Post NMDA receptor activation events"	35	35	17	0.485714285714286	0.288135593220339	34	40	7	0	0.146189231420835	1
"Nuclear Pore Complex (NPC) Disassembly"	"Nuclear Pore Complex (NPC) Disassembly"	33	33	16	0.484848484848485	0.194915254237288	23	27	4	0	0.153225039111702	1
"Transport of Ribonucleoproteins into the Host Nucleus"	"Transport of Ribonucleoproteins into the Host Nucleus"	33	33	16	0.484848484848485	0.194915254237288	23	28	4	0	0.153225039111702	1
"Signaling by ERBB2"	"Signaling by ERBB2"	163	163	79	0.484662576687117	0.669491525423729	79	167	20	0	0.0249099583464045	1
"Generic Transcription Pathway"	"Generic Transcription Pathway"	483	483	234	0.484472049689441	0.855932203389831	101	393	23	0	0.000408809582490122	0.0876352963123073
"Nuclear import of Rev protein"	"Nuclear import of Rev protein"	31	31	15	0.483870967741935	0.186440677966102	22	26	4	0	0.160701957770862	1
"Downstream signaling of activated FGFR"	"Downstream signaling of activated FGFR"	149	149	72	0.483221476510067	0.669491525423729	79	158	20	0	0.0324887651451737	1
"Degradation of the extracellular matrix"	"Degradation of the extracellular matrix"	89	89	43	0.48314606741573	0.415254237288136	49	72	6	0	0.0715832998819402	1
"PKMTs methylate histone lysines"	"PKMTs methylate histone lysines"	29	29	14	0.482758620689655	0.415254237288136	49	64	15	0	0.168662587545547	1
"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"	"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"	29	29	14	0.482758620689655	0.152542372881356	18	20	4	0	0.168662587545547	1
"CREB phosphorylation through the activation of Ras"	"CREB phosphorylation through the activation of Ras"	27	27	13	0.481481481481481	0.211864406779661	25	31	7	0	0.177156346719258	1
"Keratan sulfate biosynthesis"	"Keratan sulfate biosynthesis"	27	27	13	0.481481481481481	0.135593220338983	16	17	3	0	0.177156346719258	1
"Sema4D in semaphorin signaling"	"Sema4D in semaphorin signaling"	27	27	13	0.481481481481481	0.23728813559322	28	35	6	0	0.177156346719258	1
"Signaling by FGFR"	"Signaling by FGFR"	162	162	78	0.481481481481481	0.669491525423729	79	165	20	0	0.0304835978099591	1
"mTOR signalling"	"mTOR signalling"	27	27	13	0.481481481481481	0.135593220338983	16	18	3	0	0.177156346719258	1
"Integration of energy metabolism"	"Integration of energy metabolism"	104	104	50	0.480769230769231	0.491525423728814	58	89	7	0	0.0645240859618618	1
"Signaling by EGFR"	"Signaling by EGFR"	179	179	86	0.480446927374302	0.703389830508475	83	177	20	0	0.0264695098273917	1
"Signaling by Overexpressed Wild-Type EGFR in Cancer"	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	179	179	86	0.480446927374302	0.703389830508475	83	177	20	0	0.0264695098273917	1
"G0 and Early G1"	"G0 and Early G1"	25	25	12	0.48	0.135593220338983	16	17	4	0	0.186241165096806	1
"Nuclear Envelope Breakdown"	"Nuclear Envelope Breakdown"	50	50	24	0.48	0.26271186440678	31	36	4	0	0.132431726545964	1
"EPH-ephrin mediated repulsion of cells"	"EPH-ephrin mediated repulsion of cells"	48	48	23	0.479166666666667	0.355932203389831	42	58	8	0	0.138570769571742	1
"EPH-Ephrin signaling"	"EPH-Ephrin signaling"	94	94	45	0.478723404255319	0.567796610169492	67	114	8	0	0.0788988758476934	1
"Abortive elongation of HIV-1 transcript in the absence of Tat"	"Abortive elongation of HIV-1 transcript in the absence of Tat"	23	23	11	0.478260869565217	0.11864406779661	14	14	2	0	0.195985773986499	1
"G alpha (z) signalling events"	"G alpha (z) signalling events"	46	46	22	0.478260869565217	0.245762711864407	29	35	7	0	0.145061310554201	1
"Glutamate Neurotransmitter Release Cycle"	"Glutamate Neurotransmitter Release Cycle"	21	21	10	0.476190476190476	0.161016949152542	19	23	5	0	0.206472874581834	1
"Neurotransmitter Release Cycle"	"Neurotransmitter Release Cycle"	42	42	20	0.476190476190476	0.245762711864407	29	39	5	0	0.159214031694192	1
"Signaling by NOTCH"	"Signaling by NOTCH"	122	122	58	0.475409836065574	0.889830508474576	105	212	87	0	0.0655694144578712	1
"Signaling by EGFR in Cancer"	"Signaling by EGFR in Cancer"	181	181	86	0.475138121546961	0.703389830508475	83	177	20	0	0.0358955890447645	1
"Signaling by EGFRvIII in Cancer"	"Signaling by EGFRvIII in Cancer"	181	181	86	0.475138121546961	0.703389830508475	83	177	20	0	0.0358955890447645	1
"Signaling by Ligand-Responsive EGFR Variants in Cancer"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	181	181	86	0.475138121546961	0.703389830508475	83	177	20	0	0.0358955890447645	1
"Opioid Signalling"	"Opioid Signalling"	80	80	38	0.475	0.406779661016949	48	64	7	0	0.105232896054216	1
"Ephrin signaling"	"Ephrin signaling"	19	19	9	0.473684210526316	0.127118644067797	15	16	5	0	0.217803639574953	1
"G2/M Transition"	"G2/M Transition"	114	114	54	0.473684210526316	0.533898305084746	63	99	9	0	0.0766826693049816	1
"Orphan transporters"	"Orphan transporters"	114	114	54	0.473684210526316	0.516949152542373	61	100	7	0	0.0766826693049816	1
"Export of Viral Ribonucleoproteins from Nucleus"	"Export of Viral Ribonucleoproteins from Nucleus"	36	36	17	0.472222222222222	0.203389830508475	24	29	4	0	0.183918211044551	1
"activated TAK1 mediates p38 MAPK activation"	"activated TAK1 mediates p38 MAPK activation"	17	17	8	0.470588235294118	0.0847457627118644	10	10	2	0	0.230104311673835	1
"Keratan sulfate/keratin metabolism"	"Keratan sulfate/keratin metabolism"	32	32	15	0.46875	0.152542372881356	18	19	3	0	0.203261586902672	1
"Signaling by Robo receptor"	"Signaling by Robo receptor"	32	32	15	0.46875	0.271186440677966	32	41	8	0	0.203261586902672	1
"VEGFR2 mediated cell proliferation"	"VEGFR2 mediated cell proliferation"	32	32	15	0.46875	0.271186440677966	32	35	7	0	0.203261586902672	1
"Platelet degranulation"	"Platelet degranulation"	79	79	37	0.468354430379747	0.567796610169492	67	113	47	0	0.129939139528478	1
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	45	45	21	0.466666666666667	0.228813559322034	27	32	4	0	0.18584748405302	1
"Glycogen synthesis"	"Glycogen synthesis"	15	15	7	0.466666666666667	0.0932203389830508	11	11	2	0	0.243536242561716	1
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol"	"Synthesis of bile acids and bile salts via 27-hydroxycholesterol"	15	15	7	0.466666666666667	0.0677966101694915	8	8	2	0	0.243536242561716	1
"Platelet activation, signaling and aggregation"	"Platelet activation, signaling and aggregation"	221	221	103	0.46606334841629	0.745762711864407	88	234	47	0	0.0442026747321639	1
"NGF signalling via TRKA from the plasma membrane"	"NGF signalling via TRKA from the plasma membrane"	206	206	96	0.466019417475728	0.694915254237288	82	193	20	0	0.0497665484085748	1
"DNA Damage/Telomere Stress Induced Senescence"	"DNA Damage/Telomere Stress Induced Senescence"	58	58	27	0.46551724137931	0.872881355932203	103	122	87	0	0.169190471544043	1
"Mitotic G2-G2/M phases"	"Mitotic G2-G2/M phases"	116	116	54	0.46551724137931	0.533898305084746	63	99	9	0	0.103717401976385	1
"Signaling by SCF-KIT"	"Signaling by SCF-KIT"	144	144	67	0.465277777777778	0.661016949152542	78	142	20	0	0.0837946436179151	1
"Intraflagellar transport"	"Intraflagellar transport"	41	41	19	0.463414634146341	0.220338983050847	26	29	3	0	0.204624461071248	1
