"V1"
"NS1 Mediated Effects on Host Pathways"	"CPSF4 EIF2AK2 PABPN1"
"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP1B1 causes Glaucoma"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2"	"CALR MVD CANX CTSA SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A PRKCSH SLC17A5 SRD5A3 ALG1 ALG10 ALG10B ALG11 ALG13 ALG14 ALG2 ALG3 ALG5 ALG6 ALG8 ALG9 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 CMAS DAD1 DOLK DOLPP1 DPAGT1 DPM1 DPM2 DPM3 EDEM1 EDEM2 EDEM3 FUT8 GANAB GFPT1 GFPT2 GLB1 GMPPA GMPPB GNE GNPNAT1 LMAN1 MAGT1 MAN1A1 MAN1A2 MAN1B1 MAN2A1 MAN2A2 MANEA MCFD2 MGAT1 MGAT2 MGAT4A MGAT4B MOGS MPDU1 NANP NANS NEU1 NEU2 NEU3 NEU4 NPL PGM3 PMM2 PREB RFT1 RPN1 RPN2 SLC35A1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL5 ST3GAL6 ST6GAL1 ST6GAL2 ST6GALNAC1 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 STT3A TUSC3 UAP1 UGGT2"
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"	"AGRN B3GALT6 B3GAT1 B3GAT2 B3GAT3 B4GALT7 BCAN BGN CSPG5 DCN GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 GXYLT1 GXYLT2 NCAN SDC1 SDC2 SDC4 VCAN ABCC5 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 GLB1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL6 SLC26A1 SLC26A2 SLC35B2 SLC35B3 ARSB HEXB HYAL1 HYAL3 IDS IDUA CD44 CHPF CHPF2 CHST12 CHST13 CHST15 CHST3 CHST7 CHST9 CHSY1 CHSY3 CSGALNACT1 CSGALNACT2 DSE DSEL GNS ACAN B3GNT2 B3GNT3 B3GNT7 CHST1 CHST2 CHST5 CHST6 EXT1 EXT2 FMOD GLB1L GUSB HAS1 HAS2 HAS3 HMMR HPSE HS2ST1 HS3ST1 HS3ST2 HS3ST3A1 HS3ST3B1 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HS6ST3 HYAL2 KERA LUM LYVE1 NAGLU NDST1 NDST2 NDST4 OGN OMD PRELP SGSH SLC35D2"
"Defective EXT2 causes exostoses 2"	"AGRN B3GALT6 B3GAT1 B3GAT2 B3GAT3 B4GALT7 BCAN BGN CSPG5 DCN GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 GXYLT1 GXYLT2 NCAN SDC1 SDC2 SDC4 VCAN ABCC5 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 GLB1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL6 SLC26A1 SLC26A2 SLC35B2 SLC35B3 ARSB HEXB HYAL1 HYAL3 IDS IDUA CD44 CHPF CHPF2 CHST12 CHST13 CHST15 CHST3 CHST7 CHST9 CHSY1 CHSY3 CSGALNACT1 CSGALNACT2 DSE DSEL GNS ACAN B3GNT2 B3GNT3 B3GNT7 CHST1 CHST2 CHST5 CHST6 EXT1 EXT2 FMOD GLB1L GUSB HAS1 HAS2 HAS3 HMMR HPSE HS2ST1 HS3ST1 HS3ST2 HS3ST3A1 HS3ST3B1 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HS6ST3 HYAL2 KERA LUM LYVE1 NAGLU NDST1 NDST2 NDST4 OGN OMD PRELP SGSH SLC35D2"
"Defective FMO3 causes Trimethylaminuria (TMAU)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)"	"NAT1 NAT2 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3 ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 HPGDS AHCY BPNT1 CNDP2 COMT GCLC GCLM GGCT GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTT2 GSTT2B GSTZ1 MAT1A MAT2A MAT2B MTR MTRR NNMT OPLAH SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SULT1A1 SULT1A2 SULT1A3 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 TPMT UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective GGT1 causes Glutathionuria (GLUTH)"	"NAT1 NAT2 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3 ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 HPGDS AHCY BPNT1 CNDP2 COMT GCLC GCLM GGCT GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTT2 GSTT2B GSTZ1 MAT1A MAT2A MAT2B MTR MTRR NNMT OPLAH SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SULT1A1 SULT1A2 SULT1A3 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 TPMT UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective GIF causes intrinsic factor deficiency"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)"	"NAT1 NAT2 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3 ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 HPGDS AHCY BPNT1 CNDP2 COMT GCLC GCLM GGCT GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTT2 GSTT2B GSTZ1 MAT1A MAT2A MAT2B MTR MTRR NNMT OPLAH SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SULT1A1 SULT1A2 SULT1A3 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 TPMT UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective HLCS causes multiple carboxylase deficiency"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective MAN1B1 causes MRT15"	"CALR MVD CANX CTSA SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A PRKCSH SLC17A5 SRD5A3 ALG1 ALG10 ALG10B ALG11 ALG13 ALG14 ALG2 ALG3 ALG5 ALG6 ALG8 ALG9 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 CMAS DAD1 DOLK DOLPP1 DPAGT1 DPM1 DPM2 DPM3 EDEM1 EDEM2 EDEM3 FUT8 GANAB GFPT1 GFPT2 GLB1 GMPPA GMPPB GNE GNPNAT1 LMAN1 MAGT1 MAN1A1 MAN1A2 MAN1B1 MAN2A1 MAN2A2 MANEA MCFD2 MGAT1 MGAT2 MGAT4A MGAT4B MOGS MPDU1 NANP NANS NEU1 NEU2 NEU3 NEU4 NPL PGM3 PMM2 PREB RFT1 RPN1 RPN2 SLC35A1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL5 ST3GAL6 ST6GAL1 ST6GAL2 ST6GALNAC1 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 STT3A TUSC3 UAP1 UGGT2"
"Defective MAOA causes Brunner syndrome (BRUNS)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)"	"NAT1 NAT2 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3 ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 HPGDS AHCY BPNT1 CNDP2 COMT GCLC GCLM GGCT GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTT2 GSTT2B GSTZ1 MAT1A MAT2A MAT2B MTR MTRR NNMT OPLAH SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SULT1A1 SULT1A2 SULT1A3 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 TPMT UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
