"path_id"	"full_path_length"	"testable_path_length"	"drug_targeted_genes"	"proportion_drug_targeted"
"Toll-Like Receptors Cascades"	"Toll-Like Receptors Cascades"	144	144	40	0.277777777777778
"Signaling by FGFR in disease"	"Signaling by FGFR in disease"	177	177	49	0.27683615819209
"G1/S Transition"	"G1/S Transition"	109	109	30	0.275229357798165
"Negative regulation of FGFR signaling"	"Negative regulation of FGFR signaling"	40	40	11	0.275
"Condensation of Prometaphase Chromosomes"	"Condensation of Prometaphase Chromosomes"	11	11	3	0.272727272727273
"Cyclin A/B1 associated events during G2/M transition"	"Cyclin A/B1 associated events during G2/M transition"	22	22	6	0.272727272727273
"Purine metabolism"	"Purine metabolism"	33	33	9	0.272727272727273
"Signaling by ERBB4"	"Signaling by ERBB4"	154	154	42	0.272727272727273
"Synthesis of PIPs at the plasma membrane"	"Synthesis of PIPs at the plasma membrane"	33	33	9	0.272727272727273
"TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling"	"TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling"	11	11	3	0.272727272727273
"Hedgehog 'on' state"	"Hedgehog 'on' state"	85	85	23	0.270588235294118
"Generation of second messenger molecules"	"Generation of second messenger molecules"	37	37	10	0.27027027027027
"AMER1 mutants destabilize the destruction complex"	"AMER1 mutants destabilize the destruction complex"	82	82	22	0.268292682926829
"APC truncation mutants are not K63 polyubiquitinated"	"APC truncation mutants are not K63 polyubiquitinated"	82	82	22	0.268292682926829
"APC truncation mutants have impaired AXIN binding"	"APC truncation mutants have impaired AXIN binding"	82	82	22	0.268292682926829
"AXIN missense mutants destabilize the destruction complex"	"AXIN missense mutants destabilize the destruction complex"	82	82	22	0.268292682926829
"AXIN mutants destabilize the destruction complex, activating WNT signaling"	"AXIN mutants destabilize the destruction complex, activating WNT signaling"	82	82	22	0.268292682926829
"DNA Replication Pre-Initiation"	"DNA Replication Pre-Initiation"	82	82	22	0.268292682926829
"Degradation of beta-catenin by the destruction complex"	"Degradation of beta-catenin by the destruction complex"	82	82	22	0.268292682926829
"M/G1 Transition"	"M/G1 Transition"	82	82	22	0.268292682926829
"S33 mutants of beta-catenin aren't phosphorylated"	"S33 mutants of beta-catenin aren't phosphorylated"	82	82	22	0.268292682926829
"S37 mutants of beta-catenin aren't phosphorylated"	"S37 mutants of beta-catenin aren't phosphorylated"	82	82	22	0.268292682926829
"S45 mutants of beta-catenin aren't phosphorylated"	"S45 mutants of beta-catenin aren't phosphorylated"	82	82	22	0.268292682926829
"T41 mutants of beta-catenin aren't phosphorylated"	"T41 mutants of beta-catenin aren't phosphorylated"	82	82	22	0.268292682926829
"TCF7L2 mutants don't bind CTBP"	"TCF7L2 mutants don't bind CTBP"	82	82	22	0.268292682926829
"deletions in the AMER1 gene destabilize the destruction complex"	"deletions in the AMER1 gene destabilize the destruction complex"	82	82	22	0.268292682926829
"deletions in the AXIN genes in hepatocellular carcinoma result in elevated WNT signaling"	"deletions in the AXIN genes in hepatocellular carcinoma result in elevated WNT signaling"	82	82	22	0.268292682926829
"misspliced GSK3beta mutants stabilize beta-catenin"	"misspliced GSK3beta mutants stabilize beta-catenin"	82	82	22	0.268292682926829
"phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex"	"phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex"	82	82	22	0.268292682926829
"truncated APC mutants destabilize the destruction complex"	"truncated APC mutants destabilize the destruction complex"	82	82	22	0.268292682926829
"truncations of AMER1 destabilize the destruction complex"	"truncations of AMER1 destabilize the destruction complex"	82	82	22	0.268292682926829
"CREB phosphorylation through the activation of CaMKII"	"CREB phosphorylation through the activation of CaMKII"	15	15	4	0.266666666666667
"Constitutive Signaling by EGFRvIII"	"Constitutive Signaling by EGFRvIII"	15	15	4	0.266666666666667
"GRB2:SOS provides linkage to MAPK signaling for Integrins"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	15	15	4	0.266666666666667
"Mitotic G1-G1/S phases"	"Mitotic G1-G1/S phases"	135	135	36	0.266666666666667
"Regulation of DNA replication"	"Regulation of DNA replication"	75	75	20	0.266666666666667
"Signaling by the B Cell Receptor (BCR)"	"Signaling by the B Cell Receptor (BCR)"	209	209	55	0.263157894736842
"Programmed Cell Death"	"Programmed Cell Death"	160	160	42	0.2625
"Translocation of ZAP-70 to Immunological synapse"	"Translocation of ZAP-70 to Immunological synapse"	23	23	6	0.260869565217391
"Signaling by EGFR in Cancer"	"Signaling by EGFR in Cancer"	181	181	47	0.259668508287293
"Signaling by EGFRvIII in Cancer"	"Signaling by EGFRvIII in Cancer"	181	181	47	0.259668508287293
"Signaling by Ligand-Responsive EGFR Variants in Cancer"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	181	181	47	0.259668508287293
"DAP12 interactions"	"DAP12 interactions"	179	179	46	0.256983240223464
"Signaling by EGFR"	"Signaling by EGFR"	179	179	46	0.256983240223464
"Signaling by Overexpressed Wild-Type EGFR in Cancer"	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	179	179	46	0.256983240223464
"Apoptosis"	"Apoptosis"	148	148	38	0.256756756756757
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	51	51	13	0.254901960784314
"NS1 Mediated Effects on Host Pathways"	"NS1 Mediated Effects on Host Pathways"	4	4	1	0.25
"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"	"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"	8	8	2	0.25
"CRMPs in Sema3A signaling"	"CRMPs in Sema3A signaling"	16	16	4	0.25
"Carnitine synthesis"	"Carnitine synthesis"	4	4	1	0.25
"ERKs are inactivated"	"ERKs are inactivated"	12	12	3	0.25
"Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis"	"Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis"	12	12	3	0.25
"HuR stabilizes mRNA"	"HuR stabilizes mRNA"	8	8	2	0.25
"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"	"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"	12	12	3	0.25
"Nucleotide-like (purinergic) receptors"	"Nucleotide-like (purinergic) receptors"	16	16	4	0.25
"PD-1 signaling"	"PD-1 signaling"	28	28	7	0.25
"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes"	"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes"	4	4	1	0.25
"Processing of DNA ends prior to end rejoining"	"Processing of DNA ends prior to end rejoining"	4	4	1	0.25
"Proton/oligonucleotide cotransporters"	"Proton/oligonucleotide cotransporters"	4	4	1	0.25
"Rap1 signalling"	"Rap1 signalling"	16	16	4	0.25
"SHC activation"	"SHC activation"	4	4	1	0.25
"Signaling by PDGF"	"Signaling by PDGF"	184	184	46	0.25
"Antigen processing-Cross presentation"	"Antigen processing-Cross presentation"	81	81	20	0.246913580246914
"Platelet Aggregation (Plug Formation)"	"Platelet Aggregation (Plug Formation)"	37	37	9	0.243243243243243
"Hedgehog 'off' state"	"Hedgehog 'off' state"	99	99	24	0.242424242424242
"Signalling by NGF"	"Signalling by NGF"	287	287	69	0.240418118466899
"Phosphorylation of CD3 and TCR zeta chains"	"Phosphorylation of CD3 and TCR zeta chains"	25	25	6	0.24
"Synthesis of DNA"	"Synthesis of DNA"	97	97	23	0.237113402061856
"Intrinsic Pathway for Apoptosis"	"Intrinsic Pathway for Apoptosis"	38	38	9	0.236842105263158
"Metabolism of nitric oxide"	"Metabolism of nitric oxide"	17	17	4	0.235294117647059
"PLCG1 events in ERBB2 signaling"	"PLCG1 events in ERBB2 signaling"	34	34	8	0.235294117647059
"Ras activation uopn Ca2+ infux through NMDA receptor"	"Ras activation uopn Ca2+ infux through NMDA receptor"	17	17	4	0.235294117647059
"Unblocking of NMDA receptor, glutamate binding and activation"	"Unblocking of NMDA receptor, glutamate binding and activation"	17	17	4	0.235294117647059
"eNOS activation and regulation"	"eNOS activation and regulation"	17	17	4	0.235294117647059
"Metabolism of nucleotides"	"Metabolism of nucleotides"	78	78	18	0.230769230769231
"NF-kB is activated and signals survival"	"NF-kB is activated and signals survival"	13	13	3	0.230769230769231
"Organic cation/anion/zwitterion transport"	"Organic cation/anion/zwitterion transport"	13	13	3	0.230769230769231
"Purine salvage"	"Purine salvage"	13	13	3	0.230769230769231
"Signaling by Activin"	"Signaling by Activin"	13	13	3	0.230769230769231
"TAK1 activates NFkB by phosphorylation and activation of IKKs complex"	"TAK1 activates NFkB by phosphorylation and activation of IKKs complex"	26	26	6	0.230769230769231
"NCAM signaling for neurite out-growth"	"NCAM signaling for neurite out-growth"	70	70	16	0.228571428571429
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	57	57	13	0.228070175438596
"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	57	57	13	0.228070175438596
"Extrinsic Pathway"	"Extrinsic Pathway"	22	22	5	0.227272727272727
"Signaling by Insulin receptor"	"Signaling by Insulin receptor"	116	116	26	0.224137931034483
"Semaphorin interactions"	"Semaphorin interactions"	67	67	15	0.223880597014925
"Formyl peptide receptors bind formyl peptides and many other ligands"	"Formyl peptide receptors bind formyl peptides and many other ligands"	9	9	2	0.222222222222222
"Post-chaperonin tubulin folding pathway"	"Post-chaperonin tubulin folding pathway"	18	18	4	0.222222222222222
"Role of Abl in Robo-Slit signaling"	"Role of Abl in Robo-Slit signaling"	9	9	2	0.222222222222222
"S6K1-mediated signalling"	"S6K1-mediated signalling"	9	9	2	0.222222222222222
"Sema4D in semaphorin signaling"	"Sema4D in semaphorin signaling"	27	27	6	0.222222222222222
"Tie2 Signaling"	"Tie2 Signaling"	18	18	4	0.222222222222222
"mTOR signalling"	"mTOR signalling"	27	27	6	0.222222222222222
"PI3K Cascade"	"PI3K Cascade"	68	68	15	0.220588235294118
"FCGR activation"	"FCGR activation"	50	50	11	0.22
"Oxidative Stress Induced Senescence"	"Oxidative Stress Induced Senescence"	91	91	20	0.21978021978022
"PCP/CE pathway"	"PCP/CE pathway"	91	91	20	0.21978021978022
"DNA Replication"	"DNA Replication"	105	105	23	0.219047619047619
"Signaling by Robo receptor"	"Signaling by Robo receptor"	32	32	7	0.21875
"S Phase"	"S Phase"	124	124	27	0.217741935483871
"FGFR ligand binding and activation"	"FGFR ligand binding and activation"	23	23	5	0.217391304347826
"Signaling by BMP"	"Signaling by BMP"	23	23	5	0.217391304347826
"Cellular response to heat stress"	"Cellular response to heat stress"	51	51	11	0.215686274509804
"Ca-dependent events"	"Ca-dependent events"	28	28	6	0.214285714285714
"DCC mediated attractive signaling"	"DCC mediated attractive signaling"	14	14	3	0.214285714285714
"PKB-mediated events"	"PKB-mediated events"	28	28	6	0.214285714285714
"Regulation of AMPK activity via LKB1"	"Regulation of AMPK activity via LKB1"	14	14	3	0.214285714285714
"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	14	14	3	0.214285714285714
"Role of LAT2/NTAL/LAB on calcium mobilization"	"Role of LAT2/NTAL/LAB on calcium mobilization"	141	141	30	0.212765957446809
"E2F mediated regulation of DNA replication"	"E2F mediated regulation of DNA replication"	33	33	7	0.212121212121212
"EGFR interacts with phospholipase C-gamma"	"EGFR interacts with phospholipase C-gamma"	33	33	7	0.212121212121212
"PLC-gamma1 signalling"	"PLC-gamma1 signalling"	33	33	7	0.212121212121212
"Cell Cycle Checkpoints"	"Cell Cycle Checkpoints"	118	118	25	0.211864406779661
"Apoptotic cleavage of cellular proteins"	"Apoptotic cleavage of cellular proteins"	38	38	8	0.210526315789474
"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"	"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"	19	19	4	0.210526315789474
"Signaling by FGFR1 fusion mutants"	"Signaling by FGFR1 fusion mutants"	19	19	4	0.210526315789474
"Fcgamma receptor (FCGR) dependent phagocytosis"	"Fcgamma receptor (FCGR) dependent phagocytosis"	119	119	25	0.210084033613445
"Loss of Nlp from mitotic centrosomes"	"Loss of Nlp from mitotic centrosomes"	62	62	13	0.209677419354839
"Loss of proteins required for interphase microtubule organization from the centrosome"	"Loss of proteins required for interphase microtubule organization from the centrosome"	62	62	13	0.209677419354839
"Centrosome maturation"	"Centrosome maturation"	72	72	15	0.208333333333333
"FBXW7 Mutants and NOTCH1 in Cancer"	"FBXW7 Mutants and NOTCH1 in Cancer"	72	72	15	0.208333333333333
"Growth hormone receptor signaling"	"Growth hormone receptor signaling"	24	24	5	0.208333333333333
"Pyrimidine metabolism"	"Pyrimidine metabolism"	24	24	5	0.208333333333333
"Recruitment of mitotic centrosome proteins and complexes"	"Recruitment of mitotic centrosome proteins and complexes"	72	72	15	0.208333333333333
"Sema4D induced cell migration and growth-cone collapse"	"Sema4D induced cell migration and growth-cone collapse"	24	24	5	0.208333333333333
"Signaling by NOTCH1"	"Signaling by NOTCH1"	72	72	15	0.208333333333333
"Signaling by NOTCH1 HD Domain Mutants in Cancer"	"Signaling by NOTCH1 HD Domain Mutants in Cancer"	72	72	15	0.208333333333333
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	72	72	15	0.208333333333333
"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	72	72	15	0.208333333333333
"Signaling by NOTCH1 in Cancer"	"Signaling by NOTCH1 in Cancer"	72	72	15	0.208333333333333
"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	72	72	15	0.208333333333333
"SHC-mediated cascade"	"SHC-mediated cascade"	29	29	6	0.206896551724138
"Phospholipase C-mediated cascade"	"Phospholipase C-mediated cascade"	54	54	11	0.203703703703704
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	45	45	9	0.2
"Assembly of the RAD51-ssDNA nucleoprotein complex"	"Assembly of the RAD51-ssDNA nucleoprotein complex"	5	5	1	0.2
"Bile acid and bile salt metabolism"	"Bile acid and bile salt metabolism"	35	35	7	0.2
"Cyclin B2 mediated events"	"Cyclin B2 mediated events"	5	5	1	0.2
"Disinhibition of SNARE formation"	"Disinhibition of SNARE formation"	5	5	1	0.2
"FGFR1b ligand binding and activation"	"FGFR1b ligand binding and activation"	5	5	1	0.2
"Formation of tubulin folding intermediates by CCT/TriC"	"Formation of tubulin folding intermediates by CCT/TriC"	20	20	4	0.2
"G0 and Early G1"	"G0 and Early G1"	25	25	5	0.2
"G2 Phase"	"G2 Phase"	5	5	1	0.2
"GP1b-IX-V activation signalling"	"GP1b-IX-V activation signalling"	10	10	2	0.2
"Nef Mediated CD4 Down-regulation"	"Nef Mediated CD4 Down-regulation"	10	10	2	0.2
"Nicotinamide salvaging"	"Nicotinamide salvaging"	5	5	1	0.2
"RAF activation"	"RAF activation"	5	5	1	0.2
"Regulation of Rheb GTPase activity by AMPK"	"Regulation of Rheb GTPase activity by AMPK"	10	10	2	0.2
"Regulation of gene expression in beta cells"	"Regulation of gene expression in beta cells"	20	20	4	0.2
"S6K1 signalling"	"S6K1 signalling"	5	5	1	0.2
"SMAC binds to IAPs"	"SMAC binds to IAPs"	5	5	1	0.2
"SMAC-mediated apoptotic response"	"SMAC-mediated apoptotic response"	5	5	1	0.2
"SMAC-mediated dissociation of IAP:caspase complexes"	"SMAC-mediated dissociation of IAP:caspase complexes"	5	5	1	0.2
"Signaling by FGFR mutants"	"Signaling by FGFR mutants"	45	45	9	0.2
"Signaling by FGFR1 mutants"	"Signaling by FGFR1 mutants"	30	30	6	0.2
"Signaling by Hippo"	"Signaling by Hippo"	20	20	4	0.2
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol"	"Synthesis of bile acids and bile salts via 27-hydroxycholesterol"	15	15	3	0.2
"Uptake and actions of bacterial toxins"	"Uptake and actions of bacterial toxins"	40	40	8	0.2
"Xenobiotics"	"Xenobiotics"	20	20	4	0.2
"p130Cas linkage to MAPK signaling for integrins"	"p130Cas linkage to MAPK signaling for integrins"	15	15	3	0.2
"PI Metabolism"	"PI Metabolism"	51	51	10	0.196078431372549
"L1CAM interactions"	"L1CAM interactions"	97	97	19	0.195876288659794
"DAG and IP3 signaling"	"DAG and IP3 signaling"	31	31	6	0.193548387096774
"Axon guidance"	"Axon guidance"	327	327	63	0.192660550458716
"CaM pathway"	"CaM pathway"	26	26	5	0.192307692307692
"Calmodulin induced events"	"Calmodulin induced events"	26	26	5	0.192307692307692
"Mitochondrial biogenesis"	"Mitochondrial biogenesis"	52	52	10	0.192307692307692
"ZBP1(DAI) mediated induction of type I IFNs"	"ZBP1(DAI) mediated induction of type I IFNs"	26	26	5	0.192307692307692
"Signaling by Hedgehog"	"Signaling by Hedgehog"	136	136	26	0.191176470588235
"RIP-mediated NFkB activation via ZBP1"	"RIP-mediated NFkB activation via ZBP1"	21	21	4	0.19047619047619
"Activation of Matrix Metalloproteinases"	"Activation of Matrix Metalloproteinases"	32	32	6	0.1875
"Polo-like kinase mediated events"	"Polo-like kinase mediated events"	16	16	3	0.1875
"Processive synthesis on the lagging strand"	"Processive synthesis on the lagging strand"	16	16	3	0.1875
"TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"	"TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"	16	16	3	0.1875
"Host Interactions of HIV factors"	"Host Interactions of HIV factors"	135	135	25	0.185185185185185
"Cytochrome P450 - arranged by substrate type"	"Cytochrome P450 - arranged by substrate type"	60	60	11	0.183333333333333
"CYP2E1 reactions"	"CYP2E1 reactions"	11	11	2	0.181818181818182
"FGFR1c ligand binding and activation"	"FGFR1c ligand binding and activation"	11	11	2	0.181818181818182
"Hormone ligand-binding receptors"	"Hormone ligand-binding receptors"	11	11	2	0.181818181818182
"Import of palmitoyl-CoA into the mitochondrial matrix"	"Import of palmitoyl-CoA into the mitochondrial matrix"	11	11	2	0.181818181818182
"Nephrin interactions"	"Nephrin interactions"	22	22	4	0.181818181818182
"Recruitment of NuMA to mitotic centrosomes"	"Recruitment of NuMA to mitotic centrosomes"	11	11	2	0.181818181818182
"Signaling by activated point mutants of FGFR1"	"Signaling by activated point mutants of FGFR1"	11	11	2	0.181818181818182
"mTORC1-mediated signalling"	"mTORC1-mediated signalling"	11	11	2	0.181818181818182
"Energy dependent regulation of mTOR by LKB1-AMPK"	"Energy dependent regulation of mTOR by LKB1-AMPK"	17	17	3	0.176470588235294
"KSRP destabilizes mRNA"	"KSRP destabilizes mRNA"	17	17	3	0.176470588235294
"Platelet activation, signaling and aggregation"	"Platelet activation, signaling and aggregation"	221	221	39	0.176470588235294
"G2/M Transition"	"G2/M Transition"	114	114	20	0.175438596491228
"Regulation of PLK1 Activity at G2/M Transition"	"Regulation of PLK1 Activity at G2/M Transition"	80	80	14	0.175
"beta-catenin independent WNT signaling"	"beta-catenin independent WNT signaling"	144	144	25	0.173611111111111
"Innate Immune System"	"Innate Immune System"	618	618	107	0.173139158576052
"Apoptotic execution  phase"	"Apoptotic execution  phase"	52	52	9	0.173076923076923
"CDO in myogenesis"	"CDO in myogenesis"	29	29	5	0.172413793103448
"Mitotic G2-G2/M phases"	"Mitotic G2-G2/M phases"	116	116	20	0.172413793103448
"Myogenesis"	"Myogenesis"	29	29	5	0.172413793103448
"The role of Nef in HIV-1 replication and disease pathogenesis"	"The role of Nef in HIV-1 replication and disease pathogenesis"	29	29	5	0.172413793103448
"HSF1-dependent transactivation"	"HSF1-dependent transactivation"	35	35	6	0.171428571428571
"Cellular Senescence"	"Cellular Senescence"	158	158	27	0.170886075949367
"Developmental Biology"	"Developmental Biology"	519	519	87	0.167630057803468
"Activation of SMO"	"Activation of SMO"	18	18	3	0.166666666666667
"Amine ligand-binding receptors"	"Amine ligand-binding receptors"	42	42	7	0.166666666666667
"Bile salt and organic anion SLC transporters"	"Bile salt and organic anion SLC transporters"	12	12	2	0.166666666666667
"Binding and entry of HIV virion"	"Binding and entry of HIV virion"	12	12	2	0.166666666666667
"FGFR3 ligand binding and activation"	"FGFR3 ligand binding and activation"	12	12	2	0.166666666666667
"FGFR3c ligand binding and activation"	"FGFR3c ligand binding and activation"	12	12	2	0.166666666666667
"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	30	30	5	0.166666666666667
"Heme degradation"	"Heme degradation"	6	6	1	0.166666666666667
"IKK complex recruitment mediated by RIP1"	"IKK complex recruitment mediated by RIP1"	24	24	4	0.166666666666667
"IRF3 mediated activation of type 1 IFN"	"IRF3 mediated activation of type 1 IFN"	6	6	1	0.166666666666667
"IRS activation"	"IRS activation"	6	6	1	0.166666666666667
"Inhibition of replication initiation of damaged DNA by RB1/E2F1"	"Inhibition of replication initiation of damaged DNA by RB1/E2F1"	12	12	2	0.166666666666667
"Mineralocorticoid biosynthesis"	"Mineralocorticoid biosynthesis"	6	6	1	0.166666666666667
"Nonhomologous End-joining (NHEJ)"	"Nonhomologous End-joining (NHEJ)"	6	6	1	0.166666666666667
"P2Y receptors"	"P2Y receptors"	12	12	2	0.166666666666667
"Presynaptic phase of homologous DNA pairing and strand exchange"	"Presynaptic phase of homologous DNA pairing and strand exchange"	6	6	1	0.166666666666667
"Pyrimidine biosynthesis"	"Pyrimidine biosynthesis"	6	6	1	0.166666666666667
"REV-ERBA represses gene expression"	"REV-ERBA represses gene expression"	24	24	4	0.166666666666667
"Release of eIF4E"	"Release of eIF4E"	6	6	1	0.166666666666667
"Signaling by FGFR3 mutants"	"Signaling by FGFR3 mutants"	12	12	2	0.166666666666667
"Signaling by activated point mutants of FGFR3"	"Signaling by activated point mutants of FGFR3"	12	12	2	0.166666666666667
"Synthesis of 15-eicosatetraenoic acid derivatives"	"Synthesis of 15-eicosatetraenoic acid derivatives"	6	6	1	0.166666666666667
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol"	"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol"	24	24	4	0.166666666666667
"TRAF6 mediated NF-kB activation"	"TRAF6 mediated NF-kB activation"	24	24	4	0.166666666666667
"Telomere Extension By Telomerase"	"Telomere Extension By Telomerase"	6	6	1	0.166666666666667
"Trafficking of AMPA receptors"	"Trafficking of AMPA receptors"	30	30	5	0.166666666666667
"vRNP Assembly"	"vRNP Assembly"	6	6	1	0.166666666666667
"Cytokine Signaling in Immune system"	"Cytokine Signaling in Immune system"	308	308	51	0.165584415584416
"Cellular responses to stress"	"Cellular responses to stress"	248	248	40	0.161290322580645
"Role of phospholipids in phagocytosis"	"Role of phospholipids in phagocytosis"	62	62	10	0.161290322580645
"Effects of PIP2 hydrolysis"	"Effects of PIP2 hydrolysis"	25	25	4	0.16
"RORA activates circadian gene expression"	"RORA activates circadian gene expression"	25	25	4	0.16
"Regulation of IFNA signaling"	"Regulation of IFNA signaling"	25	25	4	0.16
"Senescence-Associated Secretory Phenotype (SASP)"	"Senescence-Associated Secretory Phenotype (SASP)"	75	75	12	0.16
"RNF mutants show enhanced WNT signaling and proliferation"	"RNF mutants show enhanced WNT signaling and proliferation"	190	190	30	0.157894736842105
"Signaling by NODAL"	"Signaling by NODAL"	19	19	3	0.157894736842105
"TCF dependent signaling in response to WNT"	"TCF dependent signaling in response to WNT"	190	190	30	0.157894736842105
"XAV939 inhibits tankyrase, stabilizing AXIN"	"XAV939 inhibits tankyrase, stabilizing AXIN"	190	190	30	0.157894736842105
"misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling"	"misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling"	190	190	30	0.157894736842105
"Anchoring of the basal body to the plasma membrane"	"Anchoring of the basal body to the plasma membrane"	89	89	14	0.157303370786517
"Advanced glycosylation endproduct receptor signaling"	"Advanced glycosylation endproduct receptor signaling"	13	13	2	0.153846153846154
"FGFR2c ligand binding and activation"	"FGFR2c ligand binding and activation"	13	13	2	0.153846153846154
"FGFR4 ligand binding and activation"	"FGFR4 ligand binding and activation"	13	13	2	0.153846153846154
"IRF3-mediated induction of type I IFN"	"IRF3-mediated induction of type I IFN"	13	13	2	0.153846153846154
"Nuclear signaling by ERBB4"	"Nuclear signaling by ERBB4"	39	39	6	0.153846153846154
"Platelet Adhesion to exposed collagen"	"Platelet Adhesion to exposed collagen"	13	13	2	0.153846153846154
"Prefoldin mediated transfer of substrate  to CCT/TriC"	"Prefoldin mediated transfer of substrate  to CCT/TriC"	26	26	4	0.153846153846154
"Resolution of AP sites via the single-nucleotide replacement pathway"	"Resolution of AP sites via the single-nucleotide replacement pathway"	13	13	2	0.153846153846154
"Transcriptional regulation of white adipocyte differentiation"	"Transcriptional regulation of white adipocyte differentiation"	78	78	12	0.153846153846154
"Base Excision Repair"	"Base Excision Repair"	20	20	3	0.15
"Resolution of Abasic Sites (AP sites)"	"Resolution of Abasic Sites (AP sites)"	20	20	3	0.15
"Syndecan interactions"	"Syndecan interactions"	20	20	3	0.15
"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding"	"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding"	27	27	4	0.148148148148148
"Synthesis of bile acids and bile salts"	"Synthesis of bile acids and bile salts"	27	27	4	0.148148148148148
"Regulation of actin dynamics for phagocytic cup formation"	"Regulation of actin dynamics for phagocytic cup formation"	95	95	14	0.147368421052632
"Signaling by Retinoic Acid"	"Signaling by Retinoic Acid"	41	41	6	0.146341463414634
"Circadian Clock"	"Circadian Clock"	55	55	8	0.145454545454545
"Cell Cycle, Mitotic"	"Cell Cycle, Mitotic"	445	445	64	0.143820224719101
"Clearance of Nuclear Envelope Membranes from Chromatin"	"Clearance of Nuclear Envelope Membranes from Chromatin"	7	7	1	0.142857142857143
"FGFR1 ligand binding and activation"	"FGFR1 ligand binding and activation"	14	14	2	0.142857142857143
"Glycogen breakdown (glycogenolysis)"	"Glycogen breakdown (glycogenolysis)"	14	14	2	0.142857142857143
"Homologous DNA pairing and strand exchange"	"Homologous DNA pairing and strand exchange"	7	7	1	0.142857142857143
"Interleukin-1 processing"	"Interleukin-1 processing"	7	7	1	0.142857142857143
"Lagging Strand Synthesis"	"Lagging Strand Synthesis"	21	21	3	0.142857142857143
"Leading Strand Synthesis"	"Leading Strand Synthesis"	14	14	2	0.142857142857143
"Pentose phosphate pathway (hexose monophosphate shunt)"	"Pentose phosphate pathway (hexose monophosphate shunt)"	7	7	1	0.142857142857143
"Polymerase switching"	"Polymerase switching"	14	14	2	0.142857142857143
"Polymerase switching on the C-strand of the telomere"	"Polymerase switching on the C-strand of the telomere"	14	14	2	0.142857142857143
"Regulation of IFNG signaling"	"Regulation of IFNG signaling"	14	14	2	0.142857142857143
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	21	21	3	0.142857142857143
"Removal of the Flap Intermediate"	"Removal of the Flap Intermediate"	14	14	2	0.142857142857143
"Scavenging by Class F Receptors"	"Scavenging by Class F Receptors"	7	7	1	0.142857142857143
"Separation of Sister Chromatids"	"Separation of Sister Chromatids"	161	161	23	0.142857142857143
"TRAF3-dependent IRF activation pathway"	"TRAF3-dependent IRF activation pathway"	14	14	2	0.142857142857143
