"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"Activation of Rac"	"Activation of Rac"	14	14	13	0.928571428571429	0.171259842519685	87	100	25	0	0.0723703294833231	1
"Adenylate cyclase inhibitory pathway"	"Adenylate cyclase inhibitory pathway"	14	14	13	0.928571428571429	0.188976377952756	96	114	26	0	0.0723703294833231	1
"CS/DS degradation"	"CS/DS degradation"	14	14	13	0.928571428571429	0.133858267716535	68	84	28	0	0.0723703294833231	1
"Ca-dependent events"	"Ca-dependent events"	28	28	26	0.928571428571429	0.289370078740157	147	182	26	0	0.0354028369417926	0.893831059713035
"DCC mediated attractive signaling"	"DCC mediated attractive signaling"	14	14	13	0.928571428571429	0.163385826771654	83	99	24	0	0.0723703294833231	1
"FGFR1 ligand binding and activation"	"FGFR1 ligand binding and activation"	14	14	13	0.928571428571429	0.0413385826771654	21	22	4	0	0.0723703294833231	1
"Inhibition of adenylate cyclase pathway"	"Inhibition of adenylate cyclase pathway"	14	14	13	0.928571428571429	0.188976377952756	96	114	26	0	0.0723703294833231	1
"NCAM signaling for neurite out-growth"	"NCAM signaling for neurite out-growth"	70	70	65	0.928571428571429	0.511811023622047	260	499	30	0	0.00439119280945688	0.139390259750948
"Postsynaptic nicotinic acetylcholine receptors"	"Postsynaptic nicotinic acetylcholine receptors"	14	14	13	0.928571428571429	0.0748031496062992	38	42	7	0	0.0723703294833231	1
"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	14	14	13	0.928571428571429	0.202755905511811	103	123	19	0	0.0723703294833231	1
"SHC1 events in ERBB4 signaling"	"SHC1 events in ERBB4 signaling"	28	28	26	0.928571428571429	0.234251968503937	119	147	29	0	0.0354028369417926	0.893831059713035
"Signal attenuation"	"Signal attenuation"	14	14	13	0.928571428571429	0.0748031496062992	38	42	8	0	0.0723703294833231	1
"tRNA Aminoacylation"	"tRNA Aminoacylation"	42	42	39	0.928571428571429	0.188976377952756	96	123	7	0	0.0174319525084895	0.48198334358214
"L1CAM interactions"	"L1CAM interactions"	97	97	90	0.927835051546392	0.647637795275591	329	730	30	0	0.0012999190202001	0.0459474814458431
"Circadian Clock"	"Circadian Clock"	55	55	51	0.927272727272727	0.360236220472441	183	275	37	0	0.0099981307433189	0.297175684657589
"Integrin alphaIIb beta3 signaling"	"Integrin alphaIIb beta3 signaling"	27	27	25	0.925925925925926	0.234251968503937	119	147	19	0	0.041423562616919	1
"Prolonged ERK activation events"	"Prolonged ERK activation events"	27	27	25	0.925925925925926	0.216535433070866	110	130	29	0	0.041423562616919	1
"Sema4D in semaphorin signaling"	"Sema4D in semaphorin signaling"	27	27	25	0.925925925925926	0.246062992125984	125	166	21	0	0.041423562616919	1
"Activation of gene expression by SREBF (SREBP)"	"Activation of gene expression by SREBF (SREBP)"	40	40	37	0.925	0.303149606299213	154	204	30	0	0.0232811797507382	0.622648952283528
"Glucose transport"	"Glucose transport"	40	40	37	0.925	0.240157480314961	122	164	11	0	0.0232811797507382	0.622648952283528
"CaM pathway"	"CaM pathway"	26	26	24	0.923076923076923	0.269685039370079	137	171	26	0	0.0484191169316881	1
"Calmodulin induced events"	"Calmodulin induced events"	26	26	24	0.923076923076923	0.269685039370079	137	171	26	0	0.0484191169316881	1
"Formation of Fibrin Clot (Clotting Cascade)"	"Formation of Fibrin Clot (Clotting Cascade)"	39	39	36	0.923076923076923	0.232283464566929	118	170	17	0	0.0268652590577132	0.705519183209132
"Glycosphingolipid metabolism"	"Glycosphingolipid metabolism"	39	39	36	0.923076923076923	0.155511811023622	79	99	7	0	0.0268652590577132	0.705519183209132
"IRF3-mediated induction of type I IFN"	"IRF3-mediated induction of type I IFN"	13	13	12	0.923076923076923	0.112204724409449	57	67	23	0	0.087316624961032	1
"NF-kB is activated and signals survival"	"NF-kB is activated and signals survival"	13	13	12	0.923076923076923	0.062992125984252	32	34	9	0	0.087316624961032	1
"Retrograde neurotrophin signalling"	"Retrograde neurotrophin signalling"	13	13	12	0.923076923076923	0.0826771653543307	42	45	13	0	0.087316624961032	1
"WNT5A-dependent internalization of FZD2, FZD5 and ROR2"	"WNT5A-dependent internalization of FZD2, FZD5 and ROR2"	13	13	12	0.923076923076923	0.0669291338582677	34	39	8	0	0.087316624961032	1
"SLC-mediated transmembrane transport"	"SLC-mediated transmembrane transport"	259	259	239	0.922779922779923	0.714566929133858	363	962	23	0	2.69158796917246e-06	0.000114289148940517
"Degradation of the extracellular matrix"	"Degradation of the extracellular matrix"	89	89	82	0.921348314606742	0.494094488188976	251	464	26	0	0.00359614631322924	0.116125999971023
"Frs2-mediated activation"	"Frs2-mediated activation"	25	25	23	0.92	0.198818897637795	101	118	29	0	0.0565350920112929	1
"Nitric oxide stimulates guanylate cyclase"	"Nitric oxide stimulates guanylate cyclase"	25	25	23	0.92	0.202755905511811	103	139	19	0	0.0565350920112929	1
"SHC-related events"	"SHC-related events"	25	25	23	0.92	0.192913385826772	98	111	29	0	0.0565350920112929	1
"Activation of ATR in response to replication stress"	"Activation of ATR in response to replication stress"	37	37	34	0.918918918918919	0.210629921259843	107	121	22	0	0.0356600464306236	0.895140728558867
"BMAL1:CLOCK,NPAS2 activates circadian gene expression"	"BMAL1:CLOCK,NPAS2 activates circadian gene expression"	37	37	34	0.918918918918919	0.318897637795276	162	219	37	0	0.0356600464306236	0.895140728558867
"NCAM1 interactions"	"NCAM1 interactions"	37	37	34	0.918918918918919	0.346456692913386	176	276	26	0	0.0356600464306236	0.895140728558867
"GPVI-mediated activation cascade"	"GPVI-mediated activation cascade"	49	49	45	0.918367346938776	0.40748031496063	207	280	86	0	0.0225552877045615	0.605712514623227
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	97	97	89	0.917525773195876	0.397637795275591	202	331	14	0	0.00378882714764361	0.121151451383501
"ABC-family proteins mediated transport"	"ABC-family proteins mediated transport"	36	36	33	0.916666666666667	0.346456692913386	176	267	19	0	0.0410152256983514	1
"Bile salt and organic anion SLC transporters"	"Bile salt and organic anion SLC transporters"	12	12	11	0.916666666666667	0.0649606299212598	33	37	10	0	0.105346851239604	1
"Death Receptor Signalling"	"Death Receptor Signalling"	12	12	11	0.916666666666667	0.133858267716535	68	73	51	0	0.105346851239604	1
"ERK activation"	"ERK activation"	12	12	11	0.916666666666667	0.0984251968503937	50	54	8	0	0.105346851239604	1
"ERKs are inactivated"	"ERKs are inactivated"	12	12	11	0.916666666666667	0.0688976377952756	35	38	8	0	0.105346851239604	1
"FBXW7 Mutants and NOTCH1 in Cancer"	"FBXW7 Mutants and NOTCH1 in Cancer"	72	72	66	0.916666666666667	0.505905511811024	257	451	86	0	0.0103764041327354	0.303589321582848
"Gamma carboxylation, hypusine formation and arylsulfatase activation"	"Gamma carboxylation, hypusine formation and arylsulfatase activation"	36	36	33	0.916666666666667	0.149606299212598	76	94	10	0	0.0410152256983514	1
"Keratan sulfate degradation"	"Keratan sulfate degradation"	12	12	11	0.916666666666667	0.0846456692913386	43	45	13	0	0.105346851239604	1
"Miscellaneous substrates"	"Miscellaneous substrates"	12	12	11	0.916666666666667	0.0748031496062992	38	42	8	0	0.105346851239604	1
"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"	"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"	12	12	11	0.916666666666667	0.167322834645669	85	92	51	0	0.105346851239604	1
"Presynaptic nicotinic acetylcholine receptors"	"Presynaptic nicotinic acetylcholine receptors"	12	12	11	0.916666666666667	0.062992125984252	32	35	7	0	0.105346851239604	1
"Sema4D induced cell migration and growth-cone collapse"	"Sema4D induced cell migration and growth-cone collapse"	24	24	22	0.916666666666667	0.224409448818898	114	148	21	0	0.0659356158369997	1
"Signaling by NOTCH1"	"Signaling by NOTCH1"	72	72	66	0.916666666666667	0.505905511811024	257	451	86	0	0.0103764041327354	0.303589321582848
"Signaling by NOTCH1 HD Domain Mutants in Cancer"	"Signaling by NOTCH1 HD Domain Mutants in Cancer"	72	72	66	0.916666666666667	0.505905511811024	257	451	86	0	0.0103764041327354	0.303589321582848
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	72	72	66	0.916666666666667	0.505905511811024	257	451	86	0	0.0103764041327354	0.303589321582848
"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	72	72	66	0.916666666666667	0.505905511811024	257	451	86	0	0.0103764041327354	0.303589321582848
"Signaling by NOTCH1 in Cancer"	"Signaling by NOTCH1 in Cancer"	72	72	66	0.916666666666667	0.505905511811024	257	451	86	0	0.0103764041327354	0.303589321582848
"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	72	72	66	0.916666666666667	0.505905511811024	257	451	86	0	0.0103764041327354	0.303589321582848
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol"	"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol"	24	24	22	0.916666666666667	0.131889763779528	67	81	8	0	0.0659356158369997	1
"Transport of Mature mRNAs Derived from Intronless Transcripts"	"Transport of Mature mRNAs Derived from Intronless Transcripts"	36	36	33	0.916666666666667	0.202755905511811	103	142	11	0	0.0410152256983514	1
"Vitamin B5 (pantothenate) metabolism"	"Vitamin B5 (pantothenate) metabolism"	12	12	11	0.916666666666667	0.0433070866141732	22	24	9	0	0.105346851239604	1
"Sphingolipid metabolism"	"Sphingolipid metabolism"	71	71	65	0.915492957746479	0.259842519685039	132	180	13	0	0.0117335912051117	0.339187195735258
"Interleukin-2 signaling"	"Interleukin-2 signaling"	47	47	43	0.914893617021277	0.403543307086614	205	277	86	0	0.0293489410399611	0.76460274955934
"Bile acid and bile salt metabolism"	"Bile acid and bile salt metabolism"	35	35	32	0.914285714285714	0.204724409448819	104	138	10	0	0.0471183395206218	1
"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	140	140	128	0.914285714285714	0.647637795275591	329	742	29	0	0.00117502759491417	0.0418725238354548
"Transport of Mature mRNA Derived from an Intronless Transcript"	"Transport of Mature mRNA Derived from an Intronless Transcript"	35	35	32	0.914285714285714	0.202755905511811	103	141	11	0	0.0471183395206218	1
"VEGFA-VEGFR2 Pathway"	"VEGFA-VEGFR2 Pathway"	105	105	96	0.914285714285714	0.594488188976378	302	594	86	0	0.0039030916488193	0.124500767640012
"ARMS-mediated activation"	"ARMS-mediated activation"	23	23	21	0.91304347826087	0.190944881889764	97	113	29	0	0.0768048006709242	1
"Deadenylation of mRNA"	"Deadenylation of mRNA"	23	23	21	0.91304347826087	0.177165354330709	90	108	17	0	0.0768048006709242	1
"Double-Strand Break Repair"	"Double-Strand Break Repair"	23	23	21	0.91304347826087	0.240157480314961	122	161	23	0	0.0768048006709242	1
"IGF1R signaling cascade"	"IGF1R signaling cascade"	92	92	84	0.91304347826087	0.505905511811024	257	421	86	0	0.0068309058677537	0.212704239966868
"MicroRNA (miRNA) biogenesis"	"MicroRNA (miRNA) biogenesis"	23	23	21	0.91304347826087	0.149606299212598	76	89	12	0	0.0768048006709242	1
"Signaling by PDGF"	"Signaling by PDGF"	184	184	168	0.91304347826087	0.791338582677165	402	1044	86	0	0.000322665267670441	0.0120913259692948
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	92	92	84	0.91304347826087	0.505905511811024	257	421	86	0	0.0068309058677537	0.212704239966868
"IRS-related events triggered by IGF1R"	"IRS-related events triggered by IGF1R"	89	89	81	0.910112359550562	0.494094488188976	251	409	86	0	0.00964170924651886	0.288549104397876
"Activation of the phototransduction cascade"	"Activation of the phototransduction cascade"	11	11	10	0.909090909090909	0.0570866141732283	29	32	11	0	0.127096739462601	1
"Apoptotic cleavage of cell adhesion  proteins"	"Apoptotic cleavage of cell adhesion  proteins"	11	11	10	0.909090909090909	0.118110236220472	60	67	23	0	0.127096739462601	1
"CDC6 association with the ORC:origin complex"	"CDC6 association with the ORC:origin complex"	11	11	10	0.909090909090909	0.0531496062992126	27	29	6	0	0.127096739462601	1
"Cholesterol biosynthesis"	"Cholesterol biosynthesis"	22	22	20	0.909090909090909	0.0688976377952756	35	38	5	0	0.0893480009409426	1
"Common Pathway"	"Common Pathway"	22	22	20	0.909090909090909	0.15748031496063	80	104	17	0	0.0893480009409426	1
"Dimerization of procaspase-8"	"Dimerization of procaspase-8"	11	11	10	0.909090909090909	0.127952755905512	65	68	51	0	0.127096739462601	1
"Endosomal/Vacuolar pathway"	"Endosomal/Vacuolar pathway"	11	11	10	0.909090909090909	0.112204724409449	57	67	22	0	0.127096739462601	1
"FGFR1c ligand binding and activation"	"FGFR1c ligand binding and activation"	11	11	10	0.909090909090909	0.031496062992126	16	17	4	0	0.127096739462601	1
"G2/M Checkpoints"	"G2/M Checkpoints"	44	44	40	0.909090909090909	0.246062992125984	125	146	22	0	0.0431977581620321	1
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"	"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"	11	11	10	0.909090909090909	0.062992125984252	32	35	10	0	0.127096739462601	1
"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors"	"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors"	11	11	10	0.909090909090909	0.0551181102362205	28	30	7	0	0.127096739462601	1
"Interleukin-6 signaling"	"Interleukin-6 signaling"	11	11	10	0.909090909090909	0.0885826771653543	45	49	8	0	0.127096739462601	1
"Interleukin-7 signaling"	"Interleukin-7 signaling"	11	11	10	0.909090909090909	0.0905511811023622	46	51	10	0	0.127096739462601	1
"Nicotinate metabolism"	"Nicotinate metabolism"	11	11	10	0.909090909090909	0.062992125984252	32	33	7	0	0.127096739462601	1
"Post-Elongation Processing of Intron-Containing pre-mRNA"	"Post-Elongation Processing of Intron-Containing pre-mRNA"	33	33	30	0.909090909090909	0.125984251968504	64	83	7	0	0.0619475754301114	1
"Purine ribonucleoside monophosphate biosynthesis"	"Purine ribonucleoside monophosphate biosynthesis"	11	11	10	0.909090909090909	0.0688976377952756	35	38	8	0	0.127096739462601	1
"Regulation by c-FLIP"	"Regulation by c-FLIP"	11	11	10	0.909090909090909	0.127952755905512	65	68	51	0	0.127096739462601	1
"Signaling by activated point mutants of FGFR1"	"Signaling by activated point mutants of FGFR1"	11	11	10	0.909090909090909	0.031496062992126	16	17	4	0	0.127096739462601	1
"Signalling to p38 via RIT and RIN"	"Signalling to p38 via RIT and RIN"	22	22	20	0.909090909090909	0.175196850393701	89	103	29	0	0.0893480009409426	1
"Transport of organic anions"	"Transport of organic anions"	11	11	10	0.909090909090909	0.108267716535433	55	71	10	0	0.127096739462601	1
"Transport of the SLBP Dependant Mature mRNA"	"Transport of the SLBP Dependant Mature mRNA"	33	33	30	0.909090909090909	0.192913385826772	98	132	11	0	0.0619475754301114	1
"Unwinding of DNA"	"Unwinding of DNA"	11	11	10	0.909090909090909	0.0688976377952756	35	37	6	0	0.127096739462601	1
"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism"	"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism"	11	11	10	0.909090909090909	0.0374015748031496	19	20	5	0	0.127096739462601	1
"alpha-linolenic acid (ALA) metabolism"	"alpha-linolenic acid (ALA) metabolism"	11	11	10	0.909090909090909	0.0374015748031496	19	20	5	0	0.127096739462601	1
"deactivation of the beta-catenin transactivating complex"	"deactivation of the beta-catenin transactivating complex"	33	33	30	0.909090909090909	0.311023622047244	158	208	79	0	0.0619475754301114	1
"mRNA 3'-end processing"	"mRNA 3'-end processing"	33	33	30	0.909090909090909	0.125984251968504	64	83	7	0	0.0619475754301114	1
"mTORC1-mediated signalling"	"mTORC1-mediated signalling"	11	11	10	0.909090909090909	0.0925196850393701	47	49	17	0	0.127096739462601	1
"Axon guidance"	"Axon guidance"	327	327	297	0.908256880733945	0.911417322834646	463	2180	30	0	1.06245666511295e-05	0.000446784371494612
"Cell-Cell communication"	"Cell-Cell communication"	130	130	118	0.907692307692308	0.714566929133858	363	892	86	0	0.00351316920874956	0.114293136601608
"Signaling by Robo receptor"	"Signaling by Robo receptor"	32	32	29	0.90625	0.263779527559055	134	179	25	0	0.0708857411992949	1
"Sphingolipid de novo biosynthesis"	"Sphingolipid de novo biosynthesis"	32	32	29	0.90625	0.149606299212598	76	81	13	0	0.0708857411992949	1
"Transport of the SLBP independent Mature mRNA"	"Transport of the SLBP independent Mature mRNA"	32	32	29	0.90625	0.192913385826772	98	131	11	0	0.0708857411992949	1
"Signaling by EGFR in Cancer"	"Signaling by EGFR in Cancer"	181	181	164	0.906077348066298	0.744094488188976	378	894	86	0	0.00101945192726727	0.0366279408679516
"Signaling by EGFRvIII in Cancer"	"Signaling by EGFRvIII in Cancer"	181	181	164	0.906077348066298	0.744094488188976	378	894	86	0	0.00101945192726727	0.0366279408679516
"Signaling by Ligand-Responsive EGFR Variants in Cancer"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	181	181	164	0.906077348066298	0.744094488188976	378	894	86	0	0.00101945192726727	0.0366279408679516
"IRS-mediated signalling"	"IRS-mediated signalling"	85	85	77	0.905882352941176	0.488188976377953	248	385	86	0	0.0150941256140322	0.427280547192962
"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	53	53	48	0.905660377358491	0.354330708661417	180	261	30	0	0.0385869283483213	0.958217954967726
"Signaling by EGFR"	"Signaling by EGFR"	179	179	162	0.905027932960894	0.742125984251969	377	888	86	0	0.00124879098675357	0.0442599099670069
"Signaling by Overexpressed Wild-Type EGFR in Cancer"	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	179	179	162	0.905027932960894	0.742125984251969	377	888	86	0	0.00124879098675357	0.0442599099670069
"ERK/MAPK targets"	"ERK/MAPK targets"	21	21	19	0.904761904761905	0.127952755905512	65	71	11	0	0.10379274075346	1
"Glutamate Neurotransmitter Release Cycle"	"Glutamate Neurotransmitter Release Cycle"	21	21	19	0.904761904761905	0.181102362204724	92	111	24	0	0.10379274075346	1
"Peroxisomal lipid metabolism"	"Peroxisomal lipid metabolism"	21	21	19	0.904761904761905	0.106299212598425	54	57	5	0	0.10379274075346	1
"VxPx cargo-targeting to cilium"	"VxPx cargo-targeting to cilium"	21	21	19	0.904761904761905	0.169291338582677	86	101	14	0	0.10379274075346	1
"Signaling by Hedgehog"	"Signaling by Hedgehog"	136	136	123	0.904411764705882	0.559055118110236	284	543	26	0	0.00424693427622014	0.135139047949979
"Apoptotic execution  phase"	"Apoptotic execution  phase"	52	52	47	0.903846153846154	0.419291338582677	213	333	51	0	0.0434537338702716	1
"Chromatin modifying enzymes"	"Chromatin modifying enzymes"	208	208	188	0.903846153846154	0.751968503937008	382	1120	79	0	0.000694056419344058	0.0254257455278898
"Chromatin organization"	"Chromatin organization"	208	208	188	0.903846153846154	0.751968503937008	382	1120	79	0	0.000694056419344058	0.0254257455278898
"p75 NTR receptor-mediated signalling"	"p75 NTR receptor-mediated signalling"	83	83	75	0.903614457831325	0.480314960629921	244	422	34	0	0.0187890095179239	0.514071025645633
"HS-GAG biosynthesis"	"HS-GAG biosynthesis"	31	31	28	0.903225806451613	0.179133858267717	91	109	20	0	0.0809962606618263	1
"Nuclear import of Rev protein"	"Nuclear import of Rev protein"	31	31	28	0.903225806451613	0.18503937007874	94	124	11	0	0.0809962606618263	1
"Glycogen storage diseases"	"Glycogen storage diseases"	257	257	232	0.90272373540856	0.746062992125984	379	988	49	0	0.000242345462345139	0.00910757560812489
"Metabolism of carbohydrates"	"Metabolism of carbohydrates"	257	257	232	0.90272373540856	0.746062992125984	379	988	49	0	0.000242345462345139	0.00910757560812489
"Myoclonic epilepsy of Lafora"	"Myoclonic epilepsy of Lafora"	257	257	232	0.90272373540856	0.746062992125984	379	988	49	0	0.000242345462345139	0.00910757560812489
"Signaling by VEGF"	"Signaling by VEGF"	113	113	102	0.902654867256637	0.610236220472441	310	633	86	0	0.00922295335826295	0.276649990662088
"EPHB-mediated forward signaling"	"EPHB-mediated forward signaling"	41	41	37	0.902439024390244	0.350393700787402	178	248	29	0	0.0628787010977259	1
"Insulin receptor signalling cascade"	"Insulin receptor signalling cascade"	92	92	83	0.902173913043478	0.5	254	403	86	0	0.016462753606455	0.458090997628102
"Signaling by ERBB2"	"Signaling by ERBB2"	163	163	147	0.901840490797546	0.720472440944882	366	846	86	0	0.00286117572792355	0.0944714372145824
"Cell death signalling via NRAGE, NRIF and NADE"	"Cell death signalling via NRAGE, NRIF and NADE"	61	61	55	0.901639344262295	0.401574803149606	204	313	34	0	0.0380869797899164	0.948777482306214
"Downstream signal transduction"	"Downstream signal transduction"	161	161	145	0.900621118012422	0.75	381	860	86	0	0.00347992291859367	0.113493865637616
"Abacavir transport and metabolism"	"Abacavir transport and metabolism"	10	10	9	0.9	0.0669291338582677	34	35	16	0	0.153332950996435	1
"Activated NOTCH1 Transmits Signal to the Nucleus"	"Activated NOTCH1 Transmits Signal to the Nucleus"	30	30	27	0.9	0.279527559055118	142	175	86	0	0.0924079977503655	1
"Activation of PPARGC1A (PGC-1alpha) by phosphorylation"	"Activation of PPARGC1A (PGC-1alpha) by phosphorylation"	10	10	9	0.9	0.0413385826771654	21	21	4	0	0.153332950996435	1
"ERK1 activation"	"ERK1 activation"	10	10	9	0.9	0.0767716535433071	39	41	8	0	0.153332950996435	1
"Ethanol oxidation"	"Ethanol oxidation"	10	10	9	0.9	0.0413385826771654	21	22	7	0	0.153332950996435	1
"Fatty Acyl-CoA Biosynthesis"	"Fatty Acyl-CoA Biosynthesis"	20	20	18	0.9	0.12007874015748	61	67	18	0	0.120389121762195	1
"MAPK targets/ Nuclear events mediated by MAP kinases"	"MAPK targets/ Nuclear events mediated by MAP kinases"	30	30	27	0.9	0.165354330708661	84	95	11	0	0.0924079977503655	1
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation"	"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation"	10	10	9	0.9	0.0374015748031496	19	19	4	0	0.153332950996435	1
"Purine catabolism"	"Purine catabolism"	10	10	9	0.9	0.0551181102362205	28	30	7	0	0.153332950996435	1
"Regulation of Rheb GTPase activity by AMPK"	"Regulation of Rheb GTPase activity by AMPK"	10	10	9	0.9	0.047244094488189	24	25	6	0	0.153332950996435	1
"Regulation of signaling by NODAL"	"Regulation of signaling by NODAL"	10	10	9	0.9	0.0433070866141732	22	22	8	0	0.153332950996435	1
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"	"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"	20	20	18	0.9	0.0748031496062992	38	43	10	0	0.120389121762195	1
"TRIF-mediated programmed cell death"	"TRIF-mediated programmed cell death"	10	10	9	0.9	0.149606299212598	76	82	51	0	0.153332950996435	1
"Zinc influx into cells by the SLC39 gene family"	"Zinc influx into cells by the SLC39 gene family"	10	10	9	0.9	0.0511811023622047	26	29	6	0	0.153332950996435	1
"Downstream signaling of activated FGFR"	"Downstream signaling of activated FGFR"	149	149	134	0.899328859060403	0.714566929133858	363	803	86	0	0.00534427577060193	0.168417765192712
"Cell surface interactions at the vascular wall"	"Cell surface interactions at the vascular wall"	99	99	89	0.898989898989899	0.525590551181102	267	475	86	0	0.0176393245849111	0.485663515310571
"Hedgehog 'off' state"	"Hedgehog 'off' state"	99	99	89	0.898989898989899	0.478346456692913	243	390	26	0	0.0176393245849111	0.485663515310571
"Signaling by FGFR in disease"	"Signaling by FGFR in disease"	177	177	159	0.898305084745763	0.738188976377953	375	910	86	0	0.00319271323582926	0.104387154233567
"IRS-related events"	"IRS-related events"	88	88	79	0.897727272727273	0.488188976377953	248	389	86	0	0.0249388976652205	0.662917199744057
"PKMTs methylate histone lysines"	"PKMTs methylate histone lysines"	29	29	26	0.896551724137931	0.450787401574803	229	333	79	0	0.105258459025919	1
"Regulation of Glucokinase by Glucokinase Regulatory Protein"	"Regulation of Glucokinase by Glucokinase Regulatory Protein"	29	29	26	0.896551724137931	0.179133858267717	91	121	11	0	0.105258459025919	1
"Signaling by Insulin receptor"	"Signaling by Insulin receptor"	116	116	104	0.896551724137931	0.523622047244094	266	453	86	0	0.0146189353875669	0.415628243416805
"Transferrin endocytosis and recycling"	"Transferrin endocytosis and recycling"	29	29	26	0.896551724137931	0.104330708661417	53	73	6	0	0.105258459025919	1
"Generic Transcription Pathway"	"Generic Transcription Pathway"	483	483	433	0.89648033126294	0.860236220472441	437	2051	86	0	6.3301648870473e-06	0.000267054847500511
"Signaling by ERBB4"	"Signaling by ERBB4"	154	154	138	0.896103896103896	0.665354330708661	338	699	86	0	0.00677975875510151	0.212121698343928
"Signaling by FGFR"	"Signaling by FGFR"	162	162	145	0.895061728395062	0.714566929133858	363	835	86	0	0.00643289024965454	0.201751709762112
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	57	57	51	0.894736842105263	0.476377952755905	242	391	86	0	0.0591962602334462	1
"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	57	57	51	0.894736842105263	0.476377952755905	242	391	86	0	0.0591962602334462	1
"Ephrin signaling"	"Ephrin signaling"	19	19	17	0.894736842105263	0.143700787401575	73	82	12	0	0.139409458275843	1
"Other semaphorin interactions"	"Other semaphorin interactions"	19	19	17	0.894736842105263	0.230314960629921	117	162	24	0	0.139409458275843	1
"Synthesis of PC"	"Synthesis of PC"	19	19	17	0.894736842105263	0.0964566929133858	49	56	7	0	0.139409458275843	1
"Cell junction organization"	"Cell junction organization"	85	85	76	0.894117647058824	0.517716535433071	263	517	38	0	0.0337288806818451	0.865355648576243
"Hedgehog 'on' state"	"Hedgehog 'on' state"	85	85	76	0.894117647058824	0.362204724409449	184	268	14	0	0.0337288806818451	0.865355648576243
"Endosomal Sorting Complex Required For Transport (ESCRT)"	"Endosomal Sorting Complex Required For Transport (ESCRT)"	28	28	25	0.892857142857143	0.0708661417322835	36	43	5	0	0.119692996393564	1
"Interleukin receptor SHC signaling"	"Interleukin receptor SHC signaling"	28	28	25	0.892857142857143	0.338582677165354	172	213	86	0	0.119692996393564	1
"MAP kinase activation in TLR cascade"	"MAP kinase activation in TLR cascade"	56	56	50	0.892857142857143	0.291338582677165	148	193	11	0	0.0658944377951733	1
"PKB-mediated events"	"PKB-mediated events"	28	28	25	0.892857142857143	0.165354330708661	84	98	17	0	0.119692996393564	1
"Signalling by NGF"	"Signalling by NGF"	287	287	256	0.89198606271777	0.84251968503937	428	1409	86	0	0.000903302712909171	0.0327245173157559
"Platelet Aggregation (Plug Formation)"	"Platelet Aggregation (Plug Formation)"	37	37	33	0.891891891891892	0.261811023622047	133	169	19	0	0.101707257399266	1
"PCP/CE pathway"	"PCP/CE pathway"	91	91	81	0.89010989010989	0.332677165354331	169	258	12	0	0.0386124876820583	0.958217954967726
