"V1"
"2-LTR circle formation"	"XRCC4"
"Cell junction organization"	"PVR PVRL2 CADM2 CDH10 CDH11 CDH13 CDH18 CDH2 CDH24 CDH3 CDH5 CDH9 CTNNA1 CTNND1 MLLT4 LAMA3 LAMC2 PLEC DST ITGB4 ARHGEF6 ACTN1 CLDN15 CLDN17 CLDN8 FLNC ILK LIMS2 PARD3 PXN"
"Cell surface interactions at the vascular wall"	"MMP1 SOS1 FYN INPP5D ITGA4 ITGAL PIK3CA PIK3CB PIK3R1 SLC3A2 SLC7A5 ITGA5 ITGB3 MAG ATP1B3 PPIL2 APOB ANGPT4 CD44 CD47 CEACAM1 CEACAM6 DOK2 FN1 GAS6 PROS1 SELP"
"Cell-Cell communication"	"ACTN2 MAPK12 NCK1 RAC1 FYN PIK3CA PIK3CB PIK3R1 PVR PVRL2 CADM2 CDH10 CDH11 CDH13 CDH18 CDH2 CDH24 CDH3 CDH5 CDH9 CTNNA1 CTNND1 MLLT4 LAMA3 LAMC2 PLEC PTK2 SPTAN1 DST ITGB4 SPTBN1 WASL ARHGEF6 ACTN1 CLDN15 CLDN17 CLDN8 FLNC ILK LIMS2 PARD3 PXN CD47 CASK IQGAP1 KIRREL MAGI2 MAPK13"
"Cell-cell junction organization"	"PVR PVRL2 CADM2 CDH10 CDH11 CDH13 CDH18 CDH2 CDH24 CDH3 CDH5 CDH9 CTNNA1 CTNND1 MLLT4 CLDN15 CLDN17 CLDN8 PARD3"
"Cell-extracellular matrix interactions"	"ARHGEF6 ACTN1 FLNC ILK LIMS2 PXN"
"Cellular Senescence"	"RPS27A CDC27 CCNA1 IL6 MAPK1 FOS MAP2K4 MAPK7 TFDP1 TP53 HIST1H1D AGO1 AGO3 AGO4 TNRC6B TNRC6C HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB RAD50 POT1 RB1 TINF2 CABIN1 CBX8 EED EHMT1 EHMT2 ETS2 HIRA HMGA2 KDM6B RNF2 STAT3 TNIK"
"Cellular response to heat stress"	"MAPK1 CAMK2A CAMK2B CREBBP MTOR CRYBA4 EP300 HSP90AB1 HSPA2 HSPA6 EEF1A1"
"Cellular response to hypoxia"	"RPS27A RBX1 CREBBP EP300 CA9 EPAS1 HIF3A"
"Cellular responses to stress"	"RPS27A RBX1 CDC27 CCNA1 IL6 MAPK1 FOS MAP2K4 MAPK7 TFDP1 TP53 HIST1H1D CAMK2A CAMK2B CREBBP AGO1 AGO3 AGO4 MTOR TNRC6B TNRC6C HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB GPX1 RAD50 CRYBA4 EP300 HSP90AB1 HSPA2 HSPA6 POT1 RB1 TINF2 CABIN1 CBX8 EED EHMT1 EHMT2 ETS2 HIRA HMGA2 KDM6B RNF2 STAT3 TNIK EEF1A1 CA9 EPAS1 HIF3A CAT GPX8 P4HB PRDX2"
"Centrosome maturation"	"AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CEP135 CEP290 CKAP5 CLASP1 CNTRL NEDD1 ODF2 PCM1 PCNT SFI1 NUMA1 TUBG2 TUBGCP6"
"ChREBP activates metabolic gene expression"	"ACACB FASN ACLY"
"Chaperonin-mediated protein folding"	"FBXW7 TCP1 AP3M1 ARFGEF2 CCT6A ACTB"
"Chemokine receptors bind chemokines"	"CCL2 CCR1 CCR3 CCRL2 CXCR3 XCL1"
"Cholesterol biosynthesis"	"HMGCR LSS MVK"
"Chondroitin sulfate biosynthesis"	"BCAN VCAN CHPF2 CHST11 CHST15 CSGALNACT1"
"Chondroitin sulfate/dermatan sulfate metabolism"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ARSB HEXA CHPF2 CHST11 CHST15 CSGALNACT1"
"Chromatin modifying enzymes"	"JAK2 CREBBP SMARCD3 TBL1XR1 HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB EP300 ACTB CLOCK NCOR1 EHMT1 EHMT2 KDM6B ACTL6B ARID1A ARID1B ARID2 ARID4A ARID4B ARID5B ATF7IP BRD8 BRPF1 CHD3 ELP2 ELP3 ELP5 GATAD2B HCFC1 HIST2H2AB HMG20B IKBKAP JADE1 JADE3 KANSL1 KANSL3 KAT6A KAT7 KAT8 KDM2A KDM2B KDM3B KDM4A KDM5B KDM5C KDM6A KDM7A KMT2A KMT2B KMT2C KMT2D KMT2E MBD3 MSL1 MTA1 NCOR2 NSD1 PHF21A PRMT5 SETD1A SMARCA4 SMARCD1 SUV39H2 TADA2A TAF6L TRRAP WDR5 WDR77 WHSC1 YEATS2"
"Chromatin organization"	"JAK2 CREBBP SMARCD3 TBL1XR1 HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB EP300 ACTB CLOCK NCOR1 EHMT1 EHMT2 KDM6B ACTL6B ARID1A ARID1B ARID2 ARID4A ARID4B ARID5B ATF7IP BRD8 BRPF1 CHD3 ELP2 ELP3 ELP5 GATAD2B HCFC1 HIST2H2AB HMG20B IKBKAP JADE1 JADE3 KANSL1 KANSL3 KAT6A KAT7 KAT8 KDM2A KDM2B KDM3B KDM4A KDM5B KDM5C KDM6A KDM7A KMT2A KMT2B KMT2C KMT2D KMT2E MBD3 MSL1 MTA1 NCOR2 NSD1 PHF21A PRMT5 SETD1A SMARCA4 SMARCD1 SUV39H2 TADA2A TAF6L TRRAP WDR5 WDR77 WHSC1 YEATS2"
"Chromosome Maintenance"	"POLE HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB FEN1 POLD1 POLD3 CASC5 CENPI CENPO POT1 SMARCA5 TINF2"
"Chylomicron-mediated lipid transport"	"APOB P4HB LDLR"
"Circadian Clock"	"RPS27A CUL1 CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 EP300 CLOCK CRY1 NCOR1 NPAS2 RORA"
"Citric acid cycle (TCA cycle)"	"DLST SDHA SDHC SUCLG2"
"Class A/1 (Rhodopsin-like receptors)"	"CCL2 APP C5 RHO ADRA2C ADRA1D DRD2 DRD3 HTR2A POMC CCR1 CCR3 CCRL2 CXCR3 XCL1 AGTR1 AVPR1A C5AR2 CCKAR CNR1 F2RL3 GAL GALR2 GHSR GPR132 GPR17 GPR37L1 GPR55 HCAR3 HCRTR2 KNG1 LHCGR LPAR4 MC2R MC3R MC5R MLN MLNR NMUR1 NMUR2 NPY5R OPN3 OPN5 OPRL1 P2RY13 PTGER2 PTGER3 RXFP3 S1PR4 SSTR4"
"Class B/2 (Secretin family receptors)"	"GNB2 GNB3 GNG8 PTCH1 GNAS FZD3 CALCRL PTCH2 PTH2R WNT2"
"Class C/3 (Metabotropic glutamate/pheromone receptors)"	"GPRC6A GRM3 GRM5 GRM6 GRM7 GRM8 TAS2R16 TAS2R46 TAS2R60"
"Class I MHC mediated antigen processing & presentation"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 CDC20 CDC27 SKP2 HSPA5 ITCH ASB17 ASB6 B2M CYBB FBXO17 FBXO44 FBXW7 FCGR1A GAN HECTD3 HERC2 HLA-A HLA-B HUWE1 LNPEP LRSAM1 NCF2 NEDD4 NPEPPS PJA2 RNF111 SEC24B SEC24C TAP1 TPP2 TRIM21 TRIP12 UBA3 UBA5 UBE2Q1 UBE3A UBE3C UBE4A UBOX5 UBR4 ZBTB16"
"Classical antibody-mediated complement activation"	"C1S"
"Clathrin derived vesicle budding"	"AP1G1 CLTA DNM2 BLOC1S6 AP3B1 AP4E1 BLOC1S3 CLINT1 DNAJC6 GAK IGF2R RAB5C SNX5 TGOLN2"
"Cleavage of Growing Transcript in the Termination Region"	"CDC40 CPSF7 DHX38 SNRPB SRSF5 SRSF6 ZNF473"
"Cleavage of the damaged pyrimidine"	"TDG"
"Cobalamin (Cbl, vitamin B12) transport and metabolism"	"MTR CUBN LMBRD1"
"Cohesin Loading onto Chromatin"	"MAU2 NIPBL RAD21 SMC3 WAPAL"
"Collagen biosynthesis and modifying enzymes"	"COL11A1 COL1A2 COL24A1 COL3A1 COL4A1 COL4A3 COL4A4 COL5A1 COL5A2 COL5A3 COL6A2 COL6A3 COL6A6 P4HB ADAMTS14 ADAMTS3 COL12A1 COL13A1 COL14A1 COL16A1 COL19A1 COL22A1 COLGALT1 COLGALT2 P3H2 PLOD2 PLOD3"
"Collagen degradation"	"FURIN MMP1 MMP13 MMP15 COL12A1 COL13A1 COL14A1 COL16A1 COL19A1"
"Collagen formation"	"MMP13 LAMA3 LAMC2 PLEC COL11A1 COL1A2 COL24A1 COL3A1 COL4A1 COL4A3 COL4A4 COL5A1 COL5A2 COL5A3 COL6A2 COL6A3 COL6A6 DST ITGB4 LOXL2 P4HB ADAMTS14 ADAMTS3 COL12A1 COL13A1 COL14A1 COL16A1 COL19A1 COL22A1 COLGALT1 COLGALT2 P3H2 PLOD2 PLOD3"
"Common Pathway"	"PROS1 F13B F5 FGG SERPINC1 SERPINE2"
"Complement cascade"	"C4B C5 PROS1 C1S C4BPA C6 C7 CD46"
"Condensation of Prometaphase Chromosomes"	"CSNK2A1 NCAPD2 NCAPH SMC2 SMC4"
"Condensation of Prophase Chromosomes"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB NCAPH2 RB1 SMC2 SMC4"
"Conjugation of carboxylic acids"	"ACSM2A"
"Conjugation of salicylate with glycine"	"ACSM2A"
"Constitutive PI3K/AKT Signaling in Cancer"	"AKT1 RPS6KB2 FGF17 FGF22 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PDGFRA PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR"
"Constitutive Signaling by EGFRvIII"	"SOS1 EGF EGFR GAB1 PIK3CA PIK3R1 CDC37"
"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"	"RPS27A SOS1 EGF EGFR GAB1 PIK3CA PIK3R1 CDC37"
"Constitutive Signaling by NOTCH1 HD Domain Mutants"	"RPS27A NOTCH1 JAG2 MIB1 MIB2"
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	"RPS27A APH1A NCSTN NOTCH1 CUL1 RBX1 JAG2 MIB1 MIB2 CREBBP TBL1XR1 FBXW7 EP300 NCOR1 NCOR2 HDAC5 HDAC7 HDAC9"
"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	"RPS27A APH1A NCSTN NOTCH1 CUL1 RBX1 JAG2 MIB1 MIB2 CREBBP TBL1XR1 FBXW7 EP300 NCOR1 NCOR2 HDAC5 HDAC7 HDAC9"
"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"NOTCH1 JAG2"
"Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase"	"CDC20 CDC27"
"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding"	"TCP1 CCT6A ACTB"
"Costimulation by the CD28 family"	"AKT1 PPP2R1B PAK2 RAC1 CD80 FYN ICOS MAP3K14 MAP3K8 MTOR PIK3CA PIK3R1 PIK3R3 RICTOR"
"Creatine metabolism"	"CKB"
"Creation of C4 and C2 activators"	"C1S"
"Cross-presentation of particulate exogenous antigens (phagosomes)"	"CYBB NCF2"
"Cross-presentation of soluble exogenous antigens (endosomes)"	"PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 FCGR1A"
"Crosslinking of collagen fibrils"	"LOXL2"
"Cyclin A/B1 associated events during G2/M transition"	"PPP2R1B CCNA1 FOXM1 PKMYT1"
"Cyclin A:Cdk2-associated events at S phase entry"	"RPS27A CUL1 PSMA1 PSMB10 PSMD2 PSMD4 CCNA1 SKP2 CKS1B RB1"
"Cyclin D associated events in G1"	"RPS27A CUL1 PPP2R1B SKP2 TFDP1 CKS1B PPP2R3B RB1 RBL1"
"Cyclin E associated events during G1/S transition"	"RPS27A CUL1 PSMA1 PSMB10 PSMD2 PSMD4 CCNA1 SKP2 CKS1B PKMYT1 RB1"
"Cytochrome P450 - arranged by substrate type"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR"
"Cytochrome c-mediated apoptotic response"	"APAF1"
"Cytokine Signaling in Immune system"	"EIF4G1 RPS27A CUL1 RBX1 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 IRAK1 IRAK2 MAP2K4 MAP3K7 TAB1 TAB3 KPNA1 CAMK2A CAMK2B PRKACA SOS1 B2M FCGR1A FYN HLA-A HLA-B ICAM1 INPP5D IRS2 MAP3K8 NEDD4 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 SYK TRIM21 VCAM1 EIF4E2 EIF4G2 EIF4G3 KPNA2 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 STAT1 TPR CD44 STAT3 CISH EGR1 GBP2 GBP3 GBP5 HGF IFNA21 IFNA8 IFNGR1 IFNGR2 IL1R1 IL1RAP IL2RB IL3RA INPPL1 IRF1 IRF2 IRF4 IRF8 OAS3 PTPN2 RNASEL STAT2 STAT5A TEC TNIP2 TRIM14 TRIM38 TRIM62 TRIM68 XAF1"
"Cytosolic iron-sulfur cluster assembly"	"ABCB7 POLD1 BRIP1"
"Cytosolic sensors of pathogen-associated DNA"	"RPS27A DTX4 APP DHX9 NFKBIA RIPK1 CREBBP TRIM21 EP300 IFI16 NLRP4 POLR3A POLR3F POLR3GL PRKDC TRIM56 ZBP1"
"Cytosolic sulfonation of small molecules"	"PAPSS1 SLC26A2 SULT1A2 SULT1C4"
"Cytosolic tRNA aminoacylation"	"LARS QARS YARS"
"DAG and IP3 signaling"	"PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB ITPR2 ITPR3 PRKAR1A PDE1C"
"DAP12 interactions"	"AKT1 RPS6KB2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA BTK FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB RAC1 SOS1 AGO1 AGO3 AGO4 B2M CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 HLA-B IRS2 ITPR2 ITPR3 LAT MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR SYK TNRC6B TNRC6C PRKAR1A VAV2 PDE1C"
"DAP12 signaling"	"AKT1 RPS6KB2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA BTK FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB RAC1 SOS1 AGO1 AGO3 AGO4 B2M CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 LAT MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR SYK TNRC6B TNRC6C PRKAR1A VAV2 PDE1C"
"DARPP-32 events"	"PPP2R1B CALM1 PRKACA PRKACB PRKAR1A PDE4B"
"DCC mediated attractive signaling"	"NCK1 RAC1 FYN PTK2 ABLIM1 DOCK1 TRIO WASL"
"DEx/H-box helicases activate type I IFN and inflammatory cytokines production"	"APP DHX9"
"DNA Damage Bypass"	"REV3L"
"DNA Damage Reversal"	"ALKBH3"
"DNA Damage/Telomere Stress Induced Senescence"	"CCNA1 TP53 HIST1H1D HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB RAD50 POT1 RB1 TINF2 CABIN1 HIRA HMGA2"
"DNA Repair"	"XRCC4 RPS27A ALKBH3 BRCA1 POLR2A POLR2B POLE RAD50 FEN1 POLB POLD1 POLD3 TDG BRCA2 BRIP1 PRKDC REV3L ERCC5 ERCC8 FANCA FANCM GTF2H1 MSH3 TP53BP1"
"DNA Replication"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 CCNA1 MCM2 MCM4 MCM7 ORC6 POLE FEN1 POLD1 POLD3 GINS1 RB1"
"DNA Replication Pre-Initiation"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 MCM2 MCM4 MCM7 ORC6 POLE"
"DNA methylation"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB DNMT1 DNMT3B UHRF1"
"DNA replication initiation"	"POLE"
"DNA strand elongation"	"MCM2 MCM4 MCM7 FEN1 POLD1 POLD3 GINS1"
"DSCAM interactions"	"MAPK12 RAC1 MAPK13"
"Deadenylation of mRNA"	"EIF4G1 PARN CNOT1 CNOT10 CNOT2 CNOT6L TNKS1BP1"
"Deadenylation-dependent mRNA decay"	"EIF4G1 DCP2 EXOSC5 PARN DCP1A XRN1 CNOT1 CNOT10 CNOT2 CNOT6L TNKS1BP1 PATL1"
"Death Receptor Signalling"	"FADD FASLG"
"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)"	"GNB2 GNB3 GNG8 CCL2 APP C5 PTCH1 RHO ADRA2C ADRA1D DRD2 DRD3 HTR2A POMC GNAS FZD3 CALCRL CCR1 CCR3 CCRL2 CXCR3 XCL1 AGTR1 AVPR1A C5AR2 CCKAR CNR1 F2RL3 GAL GALR2 GHSR GPR132 GPR17 GPR37L1 GPR55 HCAR3 HCRTR2 KNG1 LHCGR LPAR4 MC2R MC3R MC5R MLN MLNR NMUR1 NMUR2 NPY5R OPN3 OPN5 OPRL1 P2RY13 PTGER2 PTGER3 RXFP3 S1PR4 SSTR4 PTCH2 PTH2R WNT2 GPRC6A GRM3 GRM5 GRM6 GRM7 GRM8 TAS2R16 TAS2R46 TAS2R60"
"Defective ACY1 causes encephalopathy"	"AKR7L GGT1 GGT6"
"Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defective ALG1 causes ALG1-CDG (CDG-1k)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective ALG11 causes ALG11-CDG (CDG-1p)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective ALG12 causes ALG12-CDG (CDG-1g)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective ALG2 causes ALG2-CDG (CDG-1i)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective ALG3 causes ALG3-CDG (CDG-1d)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective ALG6 causes ALG6-CDG (CDG-1c)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective ALG8 causes ALG8-CDG (CDG-1h)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective ALG9 causes ALG9-CDG (CDG-1l)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective AMN causes hereditary megaloblastic anemia 1"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective B3GAT3 causes JDSSDHD"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective B4GALT7 causes EDS, progeroid type"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective BTD causes biotidinase deficiency"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective CD320 causes methylmalonic aciduria"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective CHST14 causes EDS, musculocontractural type"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective CHST3 causes SEDCJD"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective CHST6 causes MCDC1"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective CHSY1 causes TPBS"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective CUBN causes hereditary megaloblastic anemia 1"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP1B1 causes Glaucoma"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
