"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"Defective SLC26A2 causes chondrodysplasias"	"Defective SLC26A2 causes chondrodysplasias"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Diseases associated with glycosaminoglycan metabolism"	"Diseases associated with glycosaminoglycan metabolism"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Glycosaminoglycan metabolism"	"Glycosaminoglycan metabolism"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS I - Hurler syndrome"	"MPS I - Hurler syndrome"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS II - Hunter syndrome"	"MPS II - Hunter syndrome"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS IIIA - Sanfilippo syndrome A"	"MPS IIIA - Sanfilippo syndrome A"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS IIIB - Sanfilippo syndrome B"	"MPS IIIB - Sanfilippo syndrome B"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS IIIC - Sanfilippo syndrome C"	"MPS IIIC - Sanfilippo syndrome C"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS IIID - Sanfilippo syndrome D"	"MPS IIID - Sanfilippo syndrome D"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS IV - Morquio syndrome A"	"MPS IV - Morquio syndrome A"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS IV - Morquio syndrome B"	"MPS IV - Morquio syndrome B"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS IX - Natowicz syndrome"	"MPS IX - Natowicz syndrome"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS VI - Maroteaux-Lamy syndrome"	"MPS VI - Maroteaux-Lamy syndrome"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"MPS VII - Sly syndrome"	"MPS VII - Sly syndrome"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
"Mucopolysaccharidoses"	"Mucopolysaccharidoses"	120	120	111	0.925	0.50887573964497	258	431	26	0	0.000122634801375421	0.0052721653222647
