cytoband	9p21.3	8p23.2	4q35.2	11q23.1	2q22.1	7q36.1	18q23	19p13.3	1p13.2	2q36.2	9p24.1	5q11.2	13q12.11	Xp21.3	10p11.21	16q23.3	13q14.2	10q23.31	1p36.13	2q21.2	6p25.3	17q25.3	5q35.2	Xp11.3	3p12.2	14q32.32	14q11.2	9q34.3	3p14.2	4q22.1	4p15.31	19q13.43	11p15.4	18q21.2	15q15.1	7q31.1	3p24.1	16q12.1	10p15.3	9p13.1	
									HIST2H3D	OBSL1				PAGE4			PRR20B		PRAMEF10							IFI27L1	OR6S1				JAKMIP1		OR5E1P		TUBGCP4			LOC100505619			
									FAM72B	DNPEP				STARD8			PRR20C		FAM131C							C14orf79	C14orf23				FAM53A		OR10A3		SCG3			LOC100507577			
									HIST2H2AA4	SH3BP4				PHF16			PRR20D		PADI6							PLD4	OR4N2				METTL19		FXC1		TMOD3			MIR548AE2			
									FAM72D	KCNE4				HEPH			PRR20E		C1orf187							ADSSL1	OR4K2				GPR125		DKK3		TMOD2						
									LOC728855	NGEF				MED12			TPT1-AS1		SPATA21							TTC8	OR4K13				ZBTB49		RBMXL2		EHD4						
									LOC728875	SNORD82				HDAC6			MIR1297		APITD1							TC2N	OR4K17				ZNF721		PGAP2		DUOX2						
									NBPF24	PNKD				HUWE1			MIR548F5		TMEM82							SLC24A4	OR4N5				TAPT1		C11orf21		MYEF2						
									GPR89C	SNED1				PQBP1			MIR759		PRAMEF12							SLC25A29	OR11G2				FLJ39653		TRPM5		NDUFAF1						
									NBPF16	GIGYF2				ATP6AP2			MIR320D1		PRAMEF21							DEGS2	OR11H4				LCORL		UBQLN3		RSL24D1						
									PDZK1P1	TRAF3IP1				SSX3			MIR4305		PRAMEF8							LINC00239	RNASE9				ZNF718		RNF141		NUSAP1						
									PPIAL4F	ABCA12				TIMM17B			MIR3613		PRAMEF18							LOC145216	OR5AU1				CCDC96		IGF2-AS1		TMEM85						
									LOC728989	SNORD51				RRAGB			OR7E37P		PRAMEF17							GSC	POTEG				BOD1L		BET1L		SPTBN5						
									PPIAL4E	CNPPD1				EBP			SPG20OS		PRAMEF4							SERPINA12	MIR208A				CRIPAK		CEND1		CTDSPL2						
									PFN1P2	STK36				CYSLTR1			LOC100507240		PRAMEF13							PRIMA1	C14orf165				LOC285484		CYB5R2		KLF13						
									MIR942	CPS1-IT1				MAGED2			LOC100509894		PRAMEF3							TTC7B	OR11H12				DOK7		TRIM34		DUOX1						
									LOC100130000	GMPPA				PIM2			CCDC169-SOHLH2		MIR34A							C14orf49	RNASE13				FLJ35424		CDHR5		MAGEL2						
									NBPF10	SMARCAL1				IL1RAPL1			MIR4703		PRAMEF11							EML5	OR4Q3				RNF212		TOLLIP		DLL4						
									FCGR1C	ANO7				WDR45			LOC100616668		PRAMEF6							MGC23270	OR4M1				LOC285540		ZDHHC13		INO80						
									LOC100286793	PRLH				PRAF2					LOC440563							NUDT14	RNASE12				LOC285547		USP47		FAM63B						
									LOC100287722	THAP4				KLF8					UQCRHL							LINC00521	POTEM				LOC285548		TRIM68		RNF111						
									LOC100289211	ANKMY1				VSIG4					MINOS1							SERPINA11	LOC642426				FAM200B		UEVLD		ZNF280D						
									MIR320B1	SCLY				IQSEC2					PRAMEF7							LOC283585	ECRP				C4orf10		PIDD		TRPM7						
									MIR4256	ASB1				PHF8					C1orf200							LOC283587	C14orf176				NAT8L		KCNQ1DN		VPS13C						
										CAB39				ARHGEF9					PRAMEF19							FAM181A-AS1	CBLN3				C4orf44		SOX6		PPP1R14D						
										PRKAG3				GSPT2					PRAMEF20							SNHG10	SNORD9				FAM86EP		PARVA		MTMR10						
										UGT1A10				KIF4A					LOC649330							C14orf177	DHRS4L1				POLN		MMP26		ZNF770						
										UGT1A8				FTSJ1					PRAMEF22							SLC25A47	SNORD126				KCNIP4-IT1		AKIP1		FLJ10038						
										UGT1A7				CXorf27					PRAMEF15							LINC00523	MIR208B				C4orf52		C11orf16		HAUS2						
										UGT1A6				ITGB1BP2					PRAMEF16							KIAA0284	MIR4307				USP17L6P		TMEM9B		FAM82A2						
										UGT1A5				GAGE12I					SNORA59B							C14orf80	LOC100505967				USP17		NRIP3		DNAJC17						
										UGT1A9				GAGE2E					SNORA59A							CCDC85C	NEDD8-MDP1				HSP90AB2P		ASCL3		MNS1						
										UGT1A4				FAM155B					PRAMEF14							ITPK1-AS1	BCL2L2-PABPN1				C4orf48		CHRNA10		NOP10						
										UGT1A1				INGX					FLJ37453							SERPINA9	MIR548AI				LOC402160		PNPLA2		MYO5C						
										UGT1A3				GPR82					NPPA-AS1							LINC00226	MIR4707				MIR218-1		PHRF1		NDNL2						
										FEV				GPKOW					MIR3675							LINC00221					LOC441009		SCUBE2		FAM214A						
										INO80D				APEX2					ENO1-AS1							COX8C					ZNF876P		ZBED5		C15orf24						
										PID1				PCDH11X					LOC100506730							ASPG					DEFB131		SIGIRR		PAK6						
										ATG16L1				RPS6KA6					APITD1-CORT							SERPINA13					CLRN2		RIC8A		DTWD1						
										ANKZF1				P2RY10					C1orf151-NBL1							C14orf64					LOC650293		MRPL17		CASC5						
										USP40				PCSK1N					MIR4695							RTL1					ZNF732		EPS8L2		AVEN						
										HJURP				CCDC22					MIR4632							TMEM179					SCARNA22		STK33		ATP10A						
										HES6				MAGEH1												LOC400236					MIR572		CHID1		GJD2						
										ACCN4				FAM156A												LOC400238					MIR573		OR51G1		STARD9						
										DOCK10				SNX12												DICER1-AS1					LOC728369		OR51B4		VPS18						
										MREG				RPA4												C14orf180					LOC728373		OR51B2		SQRDL						
										PECR				UBQLN2												MIR127					LOC728379		OR52N1		ZFP106						
										C2orf83				FOXP3												MIR134					USP17L5		RIC3		RFX7						
										MFF				TBX22												MIR136					LOC728393		E2F8		SPATA5L1						
										CXCR7				RLIM												MIR154					LOC728400		SLC25A22		CHAC1						
										RNPEPL1				PDZD11												MIR203					LOC728405		ATHL1		NARG2						
										MARCH4				CXorf26												MIR299					FLJ36777		OR51G2		C15orf29						
										WDFY1				TAF9B												CCDC88C					PSAPL1		OR51E2		SLTM						
										NYAP2				CPXCR1												MIR323A					MIR943		PTDSS2		ATP8B4						
										ZDBF2				CHIC1												MIR337					LOC100129917		MOB2		WDR76						
										USP37				FTHL17												MIR345					LOC100129931		SBF2		TMEM62						
										CTDSP1				GPR173												MIR376C					LOC100130872		FAM160A2		SEMA6D						
										GAL3ST2				NLGN3												MIR369					LOC100133461		FAR1		SPG11						
										TMBIM1				SPIN2A												MIR376A1					MIR548I2		BTBD10		ELL3						
										RAB17				NDUFB11												MIR377					TMED11P		PTPN5		POLR2M						
										RNF25				GNL3L												MIR379					MIR4274		MICALCL		NIPA2						
										COPS7B				ERCC6L												MIR380					MIR4275		TRIM5		TLN2						
										MRPL44				GDPD2												MIR381					MIR3138		SYT8		C15orf48						
										TRPM8				BCOR												MIR382					SLIT2-IT1		PRKCDBP		C15orf41						
										ATG9A				FAM120C												MIR433					LOC100505912		SAAL1		SPPL2A						
										MLPH				NUDT11												MIR431					LOC100507266		ODF3		ZFYVE19						
										FAM134A				OTUD5												MIR329-1					MIR378D1		OSBPL5		CGNL1						
										GLB1L				MTMR8												MIR329-2					MIR548AJ2		LRRC56		FRMD5						
										SPAG16				ZNF673												MIR323B					MIR4800		MRGPRE		DISP2						
										CHPF				HDAC8												MIR409					MIR4798		ART5		CHRFAM7A						
										IQCA1				ZC4H2												MIR412					HTT-AS1		MRGPRX2		ULK4P3						
										NHEJ1				KLHL4												MIR410							MRGPRX3		ULK4P1						
										FAM124B				TEX11												MIR376B							MRGPRX4		ARHGAP11B						
										TM4SF20				CHST7												MIR485							TRIM78P		ATPBD4						
										C2orf54				GRIPAP1												MIR493							TRIM6		C15orf57						
										TUBA4B				ZNF630												MIR432							OR52E2		C15orf23						
										ARMC9				SHROOM4												MIR494							OR52J3		BMF						
										EFHD1				MAGEE1												MIR495							OR51L1		SHF						
										SPHKAP				MID1IP1												MIR496							OR51A7		DUOXA1						
										WNT10A				EDA2R												MIR487A							OR51S1		SNORD107						
										SLC19A3				NYX												TEX22							OR51F2		LDHAL6B						
										ILKAP				DUSP21												MIR539							OR52R1		CHST14						
										ITM2C				DMRTC1												MIR376A2							OR52M1		CASC4						
										RHBDD1				TSPYL2												MIR487B							OR52K2		TUBGCP5						
										ING5				PJA1												SCARNA13							OR5P2		TGM7						
										PLCD4				WDR13												SNORA28							OR5P3		CATSPER2						
										MGC16025				PORCN												MIR411							CYP2R1		LEO1						
										TMEM169				WNK3												MIR654							OR2D3		NIPA1						
										DNER				HMGN5												MIR655							OR2D2		PLA2G4E						
										B3GNT7				CXorf36												MIR656							OR52W1		TRIM69						
										SP140L				MAGIX												SNORD113-1							OR56A4		PAR1						
										STK11IP				POF1B												SNORD113-2							OR56A1		C15orf43						
										MOGAT1				CXorf21												SNORD113-4							SYT9		LOC145663						
										AGAP1				EFHC2												SNORD113-5							OR52B4		C2CD4A						
										TWIST2				PPP1R2P9												SNORD113-6							C11orf40		FAM81A						
										DIS3L2				MAGED4B												SNORD113-7							OR52I2		GCOM1						
										NEU4				LAS1L												SNORD113-9							OR51E1		LOC145783						
										AP1S3				TMEM47												SNORD114-1							UBQLNL		FLJ27352						
										SGPP2				FRMD8P1												SNORD114-2							LOC143666		LOC145845						
										SPATA3				MAGT1												SNORD114-3							PLEKHA7		TMCO5A						
										TMEM198				GPR174												SNORD114-4							SPTY2D1		ZSCAN29						
										ZFAND2B				SLC9A7												SNORD114-5							TMEM86A		TTBK2						
										CPO				SLC7A3												SNORD114-6							OR10A5		CDAN1						
										MDH1B				CCNB3												SNORD114-7							OR2AG1		STRC						
										FBXO36				PPP1R3F												SNORD114-8							DNHD1		DYX1C1						
										MTERFD2				CCDC120												SNORD114-9							SCGB1C1		CSNK1A1P1						
										UBE2F				TSR2												SNORD114-10							LDHAL6A		OTUD7A						
										OTOS				TGIF2LX												SNORD114-11							C11orf42		SPRED1						
										MYEOV2				FAM104B												SNORD114-12							NLRP6		PGBD4						
										OR6B3				PAGE5												SNORD114-13							NS3BP		ADAL						
										LOC150935				LOC92249												SNORD114-14							OR56B4		EXD1						
										PKI55				SLC38A5												SNORD114-15							LOC255512		FSIP1						
										C2orf67				ACRC												SNORD114-16							OR52B2		RHOV						
										LOC151171				SYTL5												SNORD114-17							C11orf35		C15orf33						
										LOC151174				DACH2												SNORD114-18							OR51F1		MGC15885						
										METTL21A				DGKK												SNORD114-19							MRGPRX1		UBR1						
										CCNYL1				LOC139201												SNORD114-20							OR51B5		PATL2						
										CCDC140				FAM123B												SNORD114-21							KRT8P41		LPCAT4						
										SLC23A3				APOOL												SNORD114-22							LOC283104		PLA2G4F						
										LOC151300				HDX												SNORD114-23							CSNK2A1P		LRRC57						
										GPBAR1				FUNDC1												SNORD114-24							OR51V1		LYSMD2						
										SLC16A14				DCAF8L1												SNORD114-25							H19		C15orf55						
										LOC151475				OTUD6A												SNORD114-26							EFCAB4A		WDR72						
										LINC00471				UPRT												SNORD114-27							TMEM80		HMGN2P46						
										LOC151484				MAGEE2												SNORD114-28							IGSF22		SLC24A5						
										MSL3P1				MAGEB16												SNORD114-29							OR10A4		PRTG						
										WDR69				FOXR2												SNORD114-30							OLFML1		LOC283663						
										C2orf57				PAGE3												SNORD114-31							LOC283299		LOC283683						
										PIKFYVE				SPIN4												MIR758							C11orf36		OR4N4						
										LOC200726				PABPC5												MIR668							NLRP10		LOC283710						
										TIGD1				ASB12												MIR770							NLRP14		FAM98B						
										LOC200772				LOC158572												SNORA11B							ANO9		PLA2G4D						
										CCDC108				FAAH2												MIR300							LOC338651		HERC2P3						
										C2orf72				ZXDB												MIR541							B4GALNT4		GOLGA6L1						
										CXXC11				FAM47A												MIR665							OR52L1		GOLGA8G						
										UNC80				RIBC1												MIR543							OR2AG2		GOLGA8IP						
										RUFY4				CXorf65												MIR889							OR52B6		SNORD108						
										DUSP28				AWAT1												ZBTB42							OR10A2		SNORD109A						
										ESPNL				AWAT2												LOC100129345							OVCH2		SNORD109B						
										ECEL1P2				ZDHHC15												LOC100131366							PDDC1		SNORD115-1						
										LOC348761				USP51												MIR1247							GALNTL4		WHAMMP3						
										C2orf62				CXorf38												MIR1185-1							B7H6		POTEB						
										RBM44				FAM46D												MIR1185-2							MRGPRG		GLDN						
										AQP12A				SPIN3												MIR1197							KRTAP5-1		FMN1						
										KLHL30				FAM47B												MIR1193							KRTAP5-3		SNORD64						
										PLEKHM3				CXorf22												MIR4309							KRTAP5-4		PAR4						
										C2orf80				XAGE3												MIR3173							IFITM5		PAR-SN						
										RESP18				XAGE5												LOC100507043							FAM99A		LOC348120						
										C2orf82				NUDT10												MIR3545							OR56B1		MRPL42P5						
										OR6B2				LINC00246A												MIR4710							GVINP1		USP50						
										DYTN				ZCCHC5												MIR2392							INSC		TEX9						
										ASB18				PAGE2																			OR52K1		C15orf52						
										FLJ43879				BRWD3																			OR52I1		TNFAIP8L3						
										VWC2L				TAB3																			OR51D1		C2CD4B						
										MIR149				SSX6																			OR52A5		GOLGA8E						
										MIR153-1				SSX7																			OR51B6		OR4M2						
										MIR26B				SSX8																			OR51M1		OR4N3P						
										DNAJB3				LOC286442																			OR51Q1		SHC4						
										MIR375				YIPF6																			OR51I1		CTXN2						
										SNORA41				CXorf59																			OR51I2		HERC2P2						
										LOC643387				TTC3P1																			OR52D1		C15orf53						
										PRR21				FAM133A																			OR52H1		C15orf54						
										LOC646324				RGAG4																			OR52N4		DUOXA2						
										LOC646736				NHSL2																			OR52N5		MIR190A						
										PRSS56				PABPC1L2A																			OR52N2		MIR211						
										AQP12B				KIAA2022																			OR52E6		NF1P2						
										SNORA75				ZC3H12B																			OR52E8		HERC2P9						
										SCARNA6				SATL1																			OR52E4		WHAMMP2						
										SCARNA5				ZNF81																			OR56A3		GOLGA8B						
										D2HGDH				ITIH6																			OR56A5		EIF2AK4						
										LOC728323				LANCL3																			OR10A6		CATSPER2P1						
										DIRC3				LOC347411																			OR51T1		UNC13C						
										LOC100129175				DGAT2L6																			OR51A4		LOC503519						
										PP14571				RAB41																			OR51A2		CKMT1A						
										LOC100130451				SPACA5																			IFITM10		SERINC4						
										LOC100286922				USP27X																			MIR210		C15orf62						
										MIR1471				CENPVL1																			KRTAP5-5		C15orf56						
										MIR1244-1				PAGE2B																			KRTAP5-2		PHGR1						
										MIR548F2				ZCCHC13																			KRTAP5-6		LOC645212						
										LOC100329109				CXXC1P1																			TMEM41B		CHEK2P2						
										BOK-AS1				GLOD5																			LOC440028		LOC646214						
										MIR1244-3				FLJ44635																			TRIM6-TRIM34		CXADRP2						
										MIR1244-2				LOC401588																			LOC494141		LOC646278						
										MIR3131				MIRLET7F2																			MIR483		REREP3						
										MIR4268				MIR188																			SNORA3		LOC653061						
										MIR3130-1				MIR221																			SNORA52		LOC653075						
										MIR3130-2				MIR222																			LOC644656		HSP90AB4P						
										MIR2355				MIR223																			RASSF10		MIR626						
										MIR3132				MIR98																			LOC650368		MIR627						
										MIR4269				LOC441495																			LOC653486		MIR628						
										LOC100507443				FLJ46446																			SNORA23		ANP32AP1						
										UBE2F-SCLY				RPS26P11																			SNORA45		SNORD116-19						
										MIR4439				PGAM4																			SNORA54		GOLGA6L6						
										MIR4776-1				FAM47C																			SNORD97		LOC727924						
										MIR4777				UQCRBP1																			INS-IGF2		LOC728758						
										MIR2467				MIR374A																			MUC5B		OIP5-AS1						
										MIR4775				SPIN2B																			LOC729013		GOLGA8C						
										MIR4440				SPANXN5																			MIR675		PWRN1						
										MIR4786				MIR384																			MRVI1-AS1		PWRN2						
										MIR4776-2				SSX4B																			FAM99B		SNORD116-1						
										MIR4441				LOC550643																			LOC100133161		SNORD116-2						
														JPX																			MRPL23-AS1		SNORD116-3						
														MIR362																			MIR4298		SNORD116-4						
														MIR500A																			MIR4299		SNORD116-5						
														MIR501																			MTRNR2L8		SNORD116-6						
														MIR502																			MIR210HG		SNORD116-7						
														ZNF674																			LOC100506305		SNORD116-8						
														LOC643486																			LOC100506540		SNORD116-9						
														GAGE10																			SAA2-SAA4		SNORD116-10						
														GAGE2B																			MIR4686		SNORD116-11						
														GAGE13																			MIR4485		SNORD116-12						
														GAGE12G																			MIR4687		SNORD116-13						
														CXorf30																					SNORD116-14						
														PABPC1L2B																					SNORD116-15						
														NAP1L6																					SNORD116-16						
														XAGE1C																					SNORD116-17						
														XAGE1E																					SNORD116-18						
														XAGE1A																					SNORD116-20						
														XAGE1B																					SNORD116-21						
														LINC00246B																					SNORD116-22						
														MIR545																					SNORD116-23						
														SNORA11																					SNORD116-24						
														MIR421																					SNORD116-25						
														MIR532																					SNORD115-2						
														MIR660																					SNORD116-26						
														CXorf31																					SNORD116-27						
														SSX2B																					SNORD115-3						
														FAM156B																					SNORD115-4						
														MAGED4																					SNORD115-5						
														XAGE2B																					SNORD115-6						
														DMRTC1B																					SNORD115-7						
														SPACA5B																					SNORD115-8						
														GAGE12J																					SNORD115-9						
														GAGE2D																					SNORD115-10						
														GAGE12C																					SNORD115-11						
														GAGE12B																					SNORD115-12						
														GAGE12E																					SNORD115-13						
														GAGE12H																					SNORD115-14						
														GAGE2A																					SNORD115-15						
														GAGE12F																					SNORD115-16						
														GAGE8																					SNORD115-17						
														SNORA11C																					SNORD115-18						
														SNORA11D																					SNORD115-19						
														SNORA11E																					SNORD115-20						
														MIR374B																					SNORD115-21						
														LOC100129407																					SNORD115-22						
														CXorf49																					SNORD115-23						
														UBE2DNL																					SNORD115-25						
														GAGE12D																					SNORD115-26						
														LOC100132741																					SNORD115-29						
														LOC100132831																					SNORD115-30						
														CXorf49B																					SNORD115-31						
														LOC100133957																					SNORD115-32						
														MIR1468																					SNORD115-33						
														FTX																					SNORD115-34						
														MIR500B																					SNORD115-35						
														MIR4328																					SNORD115-36						
														MTRNR2L10																					SNORD115-37						
														MIR374C																					SNORD115-38						
														MIR676																					SNORD115-39						
														LOC100509575																					SNORD115-40						
														MIR4769																					SNORD115-41						
														MIR4536-1																					SNORD115-42						
																																			SNORD115-43						
																																			SNORD115-44						
																																			SNORD116-28						
																																			SNORD116-29						
																																			SNORD115-48						
																																			SNORD115-24						
																																			SNORD115-27						
																																			SNORD115-28						
																																			SNORD115-45						
																																			SNORD115-47						
																																			MIR147B						
																																			LOC100128714						
																																			LOC100129387						
																																			LOC100131089						
																																			ANKRD63						
																																			HERC2P7						
																																			GOLGA8F						
																																			LOC100132724						
																																			GOLGA8DP						
																																			JMJD7						
																																			PLA2G4B						
																																			ULK4P2						
																																			LOC100288615						
																																			LOC100288637						
																																			LOC100289656						
																																			MIR1233-1						
																																			MIR1266						
																																			MIR1282						
																																			LOC100306975						
																																			MIR2116						
																																			MIR1233-2						
																																			MIR4310						
																																			MIR3942						
																																			LOC100505648						
																																			LOC100507466						
																																			SERF2-C15ORF63						
																																			DYX1C1-CCPG1						
																																			MIR4509-1						
																																			MIR4509-2						
																																			MIR4508						
																																			MIR4510						
																																			MIR4716						
																																			MIR4713						
																																			MIR4509-3						
																																			MIR4712						
																																			MIR4715						
																																			TMCO5B						
																																			MYZAP						
