"V1"
"2-LTR circle formation"	"PSIP1 XRCC4 XRCC6"
"Defective CHST3 causes SEDCJD"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"Defective CHST6 causes MCDC1"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"Defective CHSY1 causes TPBS"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"Defective CUBN causes hereditary megaloblastic anemia 1"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP1B1 causes Glaucoma"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2"	"SEC23A SEC24B SEC31A ALG1 ALG10 ALG10B ALG2 ALG6 B4GALT2 B4GALT5 DHDDS DPM1 EDEM3 GFPT1 GFPT2 MAGT1 MAN1C1 MAN2A2 MGAT3 MGAT4B MGAT4C MOGS MPI NANS NEU1 PGM3 RFT1 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 ST6GALNAC2 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA5 ST8SIA6 TUSC3 UGGT1"
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"Defective EXT2 causes exostoses 2"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"Defective FMO3 causes Trimethylaminuria (TMAU)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)"	"CYP1A2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 BPNT1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective GGT1 causes Glutathionuria (GLUTH)"	"CYP1A2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 BPNT1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective GIF causes intrinsic factor deficiency"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)"	"CYP1A2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 BPNT1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective HLCS causes multiple carboxylase deficiency"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective MAN1B1 causes MRT15"	"SEC23A SEC24B SEC31A ALG1 ALG10 ALG10B ALG2 ALG6 B4GALT2 B4GALT5 DHDDS DPM1 EDEM3 GFPT1 GFPT2 MAGT1 MAN1C1 MAN2A2 MGAT3 MGAT4B MGAT4C MOGS MPI NANS NEU1 PGM3 RFT1 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 ST6GALNAC2 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA5 ST8SIA6 TUSC3 UGGT1"
"Defective MAOA causes Brunner syndrome (BRUNS)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)"	"CYP1A2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 BPNT1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective MGAT2 causes MGAT2-CDG (CDG-2a)"	"SEC23A SEC24B SEC31A ALG1 ALG10 ALG10B ALG2 ALG6 B4GALT2 B4GALT5 DHDDS DPM1 EDEM3 GFPT1 GFPT2 MAGT1 MAN1C1 MAN2A2 MGAT3 MGAT4B MGAT4C MOGS MPI NANS NEU1 PGM3 RFT1 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 ST6GALNAC2 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA5 ST8SIA6 TUSC3 UGGT1"
"Defective MMAA causes methylmalonic aciduria type cblA"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective MMAB causes methylmalonic aciduria type cblB"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective MOGS causes MOGS-CDG (CDG-2b)"	"SEC23A SEC24B SEC31A ALG1 ALG10 ALG10B ALG2 ALG6 B4GALT2 B4GALT5 DHDDS DPM1 EDEM3 GFPT1 GFPT2 MAGT1 MAN1C1 MAN2A2 MGAT3 MGAT4B MGAT4C MOGS MPI NANS NEU1 PGM3 RFT1 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 ST6GALNAC2 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA5 ST8SIA6 TUSC3 UGGT1"
"Defective MPDU1 causes MPDU1-CDG (CDG-1f)"	"SEC23A SEC24B SEC31A ALG1 ALG10 ALG10B ALG2 ALG6 B4GALT2 B4GALT5 DHDDS DPM1 EDEM3 GFPT1 GFPT2 MAGT1 MAN1C1 MAN2A2 MGAT3 MGAT4B MGAT4C MOGS MPI NANS NEU1 PGM3 RFT1 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 ST6GALNAC2 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA5 ST8SIA6 TUSC3 UGGT1"
"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective MUT causes methylmalonic aciduria mut type"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)"	"CYP1A2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 BPNT1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective PAPSS2 causes SEMD-PA"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"Defective RFT1 causes RFT1-CDG (CDG-1n)"	"SEC23A SEC24B SEC31A ALG1 ALG10 ALG10B ALG2 ALG6 B4GALT2 B4GALT5 DHDDS DPM1 EDEM3 GFPT1 GFPT2 MAGT1 MAN1C1 MAN2A2 MGAT3 MGAT4B MGAT4C MOGS MPI NANS NEU1 PGM3 RFT1 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 ST6GALNAC2 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA5 ST8SIA6 TUSC3 UGGT1"
"Defective SLC26A2 causes chondrodysplasias"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)"	"CYP1A2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 BPNT1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1"
"Defective TCN2 causes hereditary megaloblastic anemia"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)"	"CYP1A2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 BPNT1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective UGT1A1 causes hyperbilirubinemia"	"CYP1A2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 BPNT1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective UGT1A4 causes hyperbilirubinemia"	"CYP1A2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 BPNT1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defects in biotin (Btn) metabolism"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
"Defects in cobalamin (B12) metabolism"	"ACACA ACACB FASN PTGIS NAMPT MTR MCCC2 PC PCCA PDZD11 SLC5A6 DHFR CUBN GIF TCN1 PANK3 PPCS AASDHPPT CYB5R3 ENPP1 FLAD1 MOCS2 MTHFD1 NADSYN1 NAPRT SLC19A3 SLC23A1 SLC23A2 SLC2A1 SLC2A3 SLC52A3"
