"Number of paths"	"Path names"
"AVPR2"	1	"Vasopressin-like receptors"
"DAGLA"	1	"Arachidonate production from DAG"
"DAGLB"	1	"Arachidonate production from DAG"
"ALOX5"	1	"Synthesis of 5-eicosatetraenoic acids"
"ALOX5AP"	1	"Synthesis of 5-eicosatetraenoic acids"
"CYP4A11"	1	"Eicosanoids"
"CYP4A22"	1	"Eicosanoids"
"CYP4B1"	1	"Eicosanoids"
"CYP4F11"	1	"Eicosanoids"
"CYP4F2"	1	"Eicosanoids"
"CYP4F22"	1	"Eicosanoids"
"CYP4F3"	1	"Eicosanoids"
"CYP4F8"	1	"Eicosanoids"
"GPX1"	1	"Synthesis of 5-eicosatetraenoic acids"
"GPX2"	1	"Synthesis of 5-eicosatetraenoic acids"
"GPX4"	1	"Synthesis of 5-eicosatetraenoic acids"
"LTC4S"	1	"Synthesis of 5-eicosatetraenoic acids"
"PTGS1"	1	"COX reactions"
"TBXAS1"	1	"Eicosanoids"
"ALG5"	1	"Synthesis of dolichyl-phosphate-glucose"
"B4GALT1"	1	"Interaction With The Zona Pellucida"
"DPM1"	1	"Synthesis of dolichyl-phosphate mannose"
"DPM2"	1	"Synthesis of dolichyl-phosphate mannose"
"DPM3"	1	"Synthesis of dolichyl-phosphate mannose"
"FUT8"	1	"Reactions specific to the complex N-glycan synthesis pathway"
"GFPT1"	1	"Synthesis of UDP-N-acetyl-glucosamine"
"GFPT2"	1	"Synthesis of UDP-N-acetyl-glucosamine"
"GNPNAT1"	1	"Synthesis of UDP-N-acetyl-glucosamine"
"MAN2A1"	1	"Reactions specific to the complex N-glycan synthesis pathway"
"MAN2A2"	1	"Reactions specific to the complex N-glycan synthesis pathway"
"MGAT2"	1	"Reactions specific to the complex N-glycan synthesis pathway"
"PGM3"	1	"Synthesis of UDP-N-acetyl-glucosamine"
"SLC35A1"	1	"Transport of nucleotide sugars"
"UAP1"	1	"Synthesis of UDP-N-acetyl-glucosamine"
"ACTB"	1	"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"
"CACNB1"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CACNB4"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CHL1"	1	"CHL1 interactions"
"CNTN6"	1	"CHL1 interactions"
"CNTNAP1"	1	"Neurofascin interactions"
"DCX"	1	"Neurofascin interactions"
"ITGA1"	1	"CHL1 interactions"
"ITGA10"	1	"CHL1 interactions"
"ITGA2"	1	"CHL1 interactions"
"NFASC"	1	"Neurofascin interactions"
"NRCAM"	1	"Neurofascin interactions"
"NRP1"	1	"CHL1 interactions"
"RHOA"	1	"Axonal growth stimulation"
"ROBO2"	1	"Regulation of Commissural axon pathfinding by Slit and Robo"
"ROBO3"	1	"Regulation of Commissural axon pathfinding by Slit and Robo"
"SDCBP"	1	"Neurofascin interactions"
"WASL"	1	"NOSTRIN mediated eNOS trafficking"
"ARHGDIA"	1	"Axonal growth stimulation"
"CAV1"	1	"NOSTRIN mediated eNOS trafficking"
"ACADM"	1	"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"
"ACOX2"	1	"Beta-oxidation of pristanoyl-CoA"
"ACOX3"	1	"Beta-oxidation of pristanoyl-CoA"
"AMACR"	1	"Beta-oxidation of pristanoyl-CoA"
"CROT"	1	"Beta-oxidation of pristanoyl-CoA"
"SLC4A1"	1	"Bicarbonate transporters"
"SLC4A10"	1	"Bicarbonate transporters"
"SLC4A2"	1	"Bicarbonate transporters"
"SLC4A3"	1	"Bicarbonate transporters"
"SLC4A4"	1	"Bicarbonate transporters"
"SLC4A5"	1	"Bicarbonate transporters"
"SLC4A7"	1	"Bicarbonate transporters"
"SLC4A8"	1	"Bicarbonate transporters"
"SLC4A9"	1	"Bicarbonate transporters"
"APOB"	1	"Scavenging by Class B Receptors"
"SCARB1"	1	"Scavenging by Class B Receptors"
"CYP24A1"	1	"Vitamin D (calciferol) metabolism"
"CYP27B1"	1	"Vitamin D (calciferol) metabolism"
"CYP2R1"	1	"Vitamin D (calciferol) metabolism"
"CYP4F12"	1	"Eicosanoids"
"FDX1"	1	"Electron transport from NADPH to Ferredoxin"
"FDX1L"	1	"Electron transport from NADPH to Ferredoxin"
"FDXR"	1	"Electron transport from NADPH to Ferredoxin"
"FMO1"	1	"FMO oxidises nucleophiles"
"FMO2"	1	"FMO oxidises nucleophiles"
"FMO3"	1	"FMO oxidises nucleophiles"
"SLC26A1"	1	"Multifunctional anion exchangers"
"SLC26A2"	1	"Multifunctional anion exchangers"
"SLC35B2"	1	"Transport of nucleotide sugars"
"SLC35B3"	1	"Transport of nucleotide sugars"
"SLC35D1"	1	"Transport of nucleotide sugars"
"NAPEPLD"	1	"Biosynthesis of A2E, implicated in retinal degradation"
"BTD"	1	"Biotin transport and metabolism"
"HLCS"	1	"Biotin transport and metabolism"
"MCCC1"	1	"Biotin transport and metabolism"
"MCCC2"	1	"Biotin transport and metabolism"
"PC"	1	"Biotin transport and metabolism"
"PDZD11"	1	"Biotin transport and metabolism"
"SLC5A6"	1	"Biotin transport and metabolism"
"ACAT1"	1	"Utilization of Ketone Bodies"
"DLD"	1	"Lysine catabolism"
"PDE1A"	1	"Cam-PDE 1 activation"
"PDE1B"	1	"Cam-PDE 1 activation"
"PDE1C"	1	"Cam-PDE 1 activation"
"EIF2B1"	1	"Recycling of eIF2:GDP"
"EIF2B2"	1	"Recycling of eIF2:GDP"
"EIF2B3"	1	"Recycling of eIF2:GDP"
"EIF2B4"	1	"Recycling of eIF2:GDP"
"EIF2B5"	1	"Recycling of eIF2:GDP"
"SLC12A1"	1	"Cation-coupled Chloride cotransporters"
"SLC12A2"	1	"Cation-coupled Chloride cotransporters"
"SLC12A3"	1	"Cation-coupled Chloride cotransporters"
"SLC12A4"	1	"Cation-coupled Chloride cotransporters"
"SLC12A5"	1	"Cation-coupled Chloride cotransporters"
"SLC12A6"	1	"Cation-coupled Chloride cotransporters"
"SLC12A7"	1	"Cation-coupled Chloride cotransporters"
"BRCA2"	1	"Fanconi Anemia pathway"
"MYC"	1	"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"
"ARHGEF9"	1	"GABA A receptor activation"
"ILK"	1	"Localization of the PINCH-ILK-PARVIN complex to focal adhesions"
"PARVA"	1	"Localization of the PINCH-ILK-PARVIN complex to focal adhesions"
"PXN"	1	"Localization of the PINCH-ILK-PARVIN complex to focal adhesions"
"CD44"	1	"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"
"SMPD2"	1	"Ceramide signalling"
"DLST"	1	"Lysine catabolism"
"OGDH"	1	"Lysine catabolism"
"AVPR1A"	1	"Vasopressin-like receptors"
"AVPR1B"	1	"Vasopressin-like receptors"
"FFAR1"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"HCRT"	1	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"
"HCRTR1"	1	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"
"HCRTR2"	1	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"
"INSL3"	1	"Relaxin receptors"
"INSL5"	1	"Relaxin receptors"
"LPAR1"	1	"Lysosphingolipid and LPA receptors"
"LPAR2"	1	"Lysosphingolipid and LPA receptors"
"LPAR3"	1	"Lysosphingolipid and LPA receptors"
"LPAR5"	1	"Lysosphingolipid and LPA receptors"
"NPFF"	1	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"
"NPFFR1"	1	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"
"NPFFR2"	1	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"
"OPN1LW"	1	"The retinoid cycle in cones (daylight vision)"
"OPN1MW"	1	"The retinoid cycle in cones (daylight vision)"
"OPN1SW"	1	"The retinoid cycle in cones (daylight vision)"
"OXT"	1	"Vasopressin-like receptors"
"OXTR"	1	"Vasopressin-like receptors"
"QRFP"	1	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"
"QRFPR"	1	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"
"RLN2"	1	"Relaxin receptors"
"RLN3"	1	"Relaxin receptors"
"RXFP1"	1	"Relaxin receptors"
"RXFP2"	1	"Relaxin receptors"
"RXFP3"	1	"Relaxin receptors"
"RXFP4"	1	"Relaxin receptors"
"S1PR1"	1	"Lysosphingolipid and LPA receptors"
"S1PR2"	1	"Lysosphingolipid and LPA receptors"
"S1PR3"	1	"Lysosphingolipid and LPA receptors"
"S1PR4"	1	"Lysosphingolipid and LPA receptors"
"S1PR5"	1	"Lysosphingolipid and LPA receptors"
"GIP"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"PTCH2"	1	"GLI proteins bind promoters of Hh responsive genes to promote transcription"
"SLC2A11"	1	"Class II GLUTs"
"SLC2A5"	1	"Class II GLUTs"
"SLC2A7"	1	"Class II GLUTs"
"SLC2A9"	1	"Class II GLUTs"
"PIK3C2A"	1	"Synthesis of PIPs at the late endosome membrane"
"TFRC"	1	"Transferrin endocytosis and recycling"
"CUBN"	1	"Vitamin D (calciferol) metabolism"
"MMAA"	1	"Propionyl-CoA catabolism"
"MUT"	1	"Propionyl-CoA catabolism"
"C6"	1	"Terminal pathway of complement"
"C7"	1	"Terminal pathway of complement"
"C8A"	1	"Terminal pathway of complement"
"C8B"	1	"Terminal pathway of complement"
"C8G"	1	"Terminal pathway of complement"
"C9"	1	"Terminal pathway of complement"
"HES1"	1	"Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"
"CBS"	1	"Cysteine formation from homocysteine"
"CTH"	1	"Cysteine formation from homocysteine"
"IP6K2"	1	"Synthesis of IPs in the nucleus"
"SUMO1"	1	"SUMO is proteolytically processed"
"TREX1"	1	"Regulation by TREX1"
"RAD23B"	1	"DNA Damage Recognition in GG-NER"
"XPC"	1	"DNA Damage Recognition in GG-NER"
"MGMT"	1	"DNA Damage Reversal"
"C17ORF70"	1	"Fanconi Anemia pathway"
"C19ORF40"	1	"Fanconi Anemia pathway"
"FANCA"	1	"Fanconi Anemia pathway"
"FANCB"	1	"Fanconi Anemia pathway"
"FANCC"	1	"Fanconi Anemia pathway"
"FANCE"	1	"Fanconi Anemia pathway"
"FANCF"	1	"Fanconi Anemia pathway"
"FANCG"	1	"Fanconi Anemia pathway"
"FANCL"	1	"Fanconi Anemia pathway"
"FANCM"	1	"Fanconi Anemia pathway"
"PALB2"	1	"Fanconi Anemia pathway"
"UBE2T"	1	"Fanconi Anemia pathway"
"ACP5"	1	"Vitamin B2 (riboflavin) metabolism"
"AOX1"	1	"Vitamins B6 activation to pyridoxal phosphate"
"ENPP1"	1	"Vitamin B2 (riboflavin) metabolism"
"FLAD1"	1	"Vitamin B2 (riboflavin) metabolism"
"GPHN"	1	"Molybdenum cofactor biosynthesis"
"MOCOS"	1	"Molybdenum cofactor biosynthesis"
"MOCS1"	1	"Molybdenum cofactor biosynthesis"
"MOCS2"	1	"Molybdenum cofactor biosynthesis"
"MOCS3"	1	"Molybdenum cofactor biosynthesis"
"NFS1"	1	"Molybdenum cofactor biosynthesis"
"PDXK"	1	"Vitamins B6 activation to pyridoxal phosphate"
"PNPO"	1	"Vitamins B6 activation to pyridoxal phosphate"
"RFK"	1	"Vitamin B2 (riboflavin) metabolism"
"SLC19A2"	1	"Vitamin B1 (thiamin) metabolism"
"SLC19A3"	1	"Vitamin B1 (thiamin) metabolism"
"SLC52A3"	1	"Vitamin B2 (riboflavin) metabolism"
"THTPA"	1	"Vitamin B1 (thiamin) metabolism"
"TPK1"	1	"Vitamin B1 (thiamin) metabolism"
"HAS1"	1	"Hyaluronan biosynthesis and export"
"HAS2"	1	"Hyaluronan biosynthesis and export"
"HAS3"	1	"Hyaluronan biosynthesis and export"
"SLC35D2"	1	"Transport of nucleotide sugars"
"ABAT"	1	"Degradation of GABA"
"ALDH5A1"	1	"Degradation of GABA"
"GLI1"	1	"GLI proteins bind promoters of Hh responsive genes to promote transcription"
"GLI2"	1	"GLI proteins bind promoters of Hh responsive genes to promote transcription"
"CACNA1A"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CACNA1B"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CACNA1E"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CACNA2D1"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CACNA2D3"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CACNG2"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"CACNG4"	1	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"
"INSM1"	1	"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"
"NEUROD1"	1	"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"
"NKX2-2"	1	"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"
"NKX6-1"	1	"Regulation of gene expression in early pancreatic precursor cells"
"NR5A2"	1	"Regulation of gene expression in early pancreatic precursor cells"
"PAX4"	1	"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells"
"PAX6"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"PCSK6"	1	"NGF processing"
"PDX1"	1	"Regulation of gene expression in early pancreatic precursor cells"
"PTF1A"	1	"Regulation of gene expression in early pancreatic precursor cells"
"CEL"	1	"Digestion of dietary lipid"
"CLPS"	1	"Digestion of dietary lipid"
"PNLIP"	1	"Digestion of dietary lipid"
"PNLIPRP1"	1	"Digestion of dietary lipid"
"PNLIPRP2"	1	"Digestion of dietary lipid"
"ALDOB"	1	"Fructose catabolism"
"ATP6V0A1"	1	"Transferrin endocytosis and recycling"
"ATP6V0A2"	1	"Transferrin endocytosis and recycling"
"ATP6V0A4"	1	"Transferrin endocytosis and recycling"
"ATP6V0B"	1	"Transferrin endocytosis and recycling"
"ATP6V0C"	1	"Transferrin endocytosis and recycling"
"ATP6V0D1"	1	"Transferrin endocytosis and recycling"
"ATP6V0D2"	1	"Transferrin endocytosis and recycling"
"ATP6V0E1"	1	"Transferrin endocytosis and recycling"
"ATP6V0E2"	1	"Transferrin endocytosis and recycling"
"ATP6V1A"	1	"Transferrin endocytosis and recycling"
"ATP6V1B1"	1	"Transferrin endocytosis and recycling"
"ATP6V1B2"	1	"Transferrin endocytosis and recycling"
"ATP6V1C1"	1	"Transferrin endocytosis and recycling"
"ATP6V1C2"	1	"Transferrin endocytosis and recycling"
"ATP6V1D"	1	"Transferrin endocytosis and recycling"
"ATP6V1E1"	1	"Transferrin endocytosis and recycling"
"ATP6V1E2"	1	"Transferrin endocytosis and recycling"
"ATP6V1F"	1	"Transferrin endocytosis and recycling"
"ATP6V1G1"	1	"Transferrin endocytosis and recycling"
"ATP6V1G2"	1	"Transferrin endocytosis and recycling"
"ATP6V1G3"	1	"Transferrin endocytosis and recycling"
"ATP6V1H"	1	"Transferrin endocytosis and recycling"
"DHRS3"	1	"The retinoid cycle in cones (daylight vision)"
"KHK"	1	"Fructose catabolism"
"LRP2"	1	"Vitamin D (calciferol) metabolism"
"MTMR4"	1	"Synthesis of PIPs at the late endosome membrane"
"PFKFB1"	1	"PP2A-mediated dephosphorylation of key metabolic factors"
"RBP3"	1	"The retinoid cycle in cones (daylight vision)"
"RLBP1"	1	"The retinoid cycle in cones (daylight vision)"
"STX1B"	1	"Toxicity of botulinum toxin type C (BoNT/C)"
"TALDO1"	1	"Insulin effects increased synthesis of Xylulose-5-Phosphate"
"TCIRG1"	1	"Transferrin endocytosis and recycling"
"TKT"	1	"Insulin effects increased synthesis of Xylulose-5-Phosphate"
"GATA4"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"BDH1"	1	"Utilization of Ketone Bodies"
"DECR1"	1	"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"
"ECI1"	1	"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"
"MCEE"	1	"Propionyl-CoA catabolism"
"OXCT1"	1	"Utilization of Ketone Bodies"
"SLC27A1"	1	"Transport of fatty acids"
"ADAM2"	1	"Interaction With The Zona Pellucida"
"ADAM20"	1	"Interaction With The Zona Pellucida"
"ADAM21"	1	"Interaction With The Zona Pellucida"
"ADAM30"	1	"Interaction With The Zona Pellucida"
"OVGP1"	1	"Interaction With The Zona Pellucida"
"SPAM1"	1	"Interaction With Cumulus Cells"
"ZP1"	1	"Interaction With The Zona Pellucida"
"ZP2"	1	"Interaction With The Zona Pellucida"
"ZP3"	1	"Interaction With The Zona Pellucida"
"ZP4"	1	"Interaction With The Zona Pellucida"
"GABRA1"	1	"GABA A receptor activation"
"GABRA2"	1	"GABA A receptor activation"
"GABRA3"	1	"GABA A receptor activation"
"GABRA4"	1	"GABA A receptor activation"
"GABRA5"	1	"GABA A receptor activation"
"GABRA6"	1	"GABA A receptor activation"
"GABRB1"	1	"GABA A receptor activation"
"GABRB2"	1	"GABA A receptor activation"
"GABRB3"	1	"GABA A receptor activation"
"GABRG2"	1	"GABA A receptor activation"
"GABRG3"	1	"GABA A receptor activation"
"GABRQ"	1	"GABA A receptor activation"
"GAD1"	1	"GABA synthesis"
"GAD2"	1	"GABA synthesis"
"GLI3"	1	"GLI proteins bind promoters of Hh responsive genes to promote transcription"
"HHIP"	1	"GLI proteins bind promoters of Hh responsive genes to promote transcription"
"DICER1"	1	"Small interfering RNA (siRNA) biogenesis"
"H19"	1	"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"
"IGF2"	1	"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"
"IGF2BP1"	1	"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"
"IGF2BP2"	1	"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"
"IGF2BP3"	1	"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"
"POLRMT"	1	"Mitochondrial transcription initiation"
"PRKRA"	1	"Small interfering RNA (siRNA) biogenesis"
"SEC11A"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"SEC11C"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"SPCS1"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"SPCS2"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"SPCS3"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"TARBP2"	1	"Small interfering RNA (siRNA) biogenesis"
"TFAM"	1	"Mitochondrial transcription initiation"
"TFB2M"	1	"Mitochondrial transcription initiation"
"TSN"	1	"Small interfering RNA (siRNA) biogenesis"
"TSNAX"	1	"Small interfering RNA (siRNA) biogenesis"
"CDIPT"	1	"Synthesis of PI"
"CDS1"	1	"Synthesis of PI"
"GNPAT"	1	"Plasmalogen biosynthesis"
"GPCPD1"	1	"Hydrolysis of LPE"
"PITPNB"	1	"PI and PC transport between ER and Golgi membranes"
"PTDSS1"	1	"Synthesis of PS"
"PTDSS2"	1	"Synthesis of PS"
"AGXT"	1	"Glyoxylate metabolism"
"AGXT2"	1	"Glyoxylate metabolism"
"DAO"	1	"Glyoxylate metabolism"
"GRHPR"	1	"Glyoxylate metabolism"
"HAO1"	1	"Glyoxylate metabolism"
"TF"	1	"Transferrin endocytosis and recycling"
"PIK3C3"	1	"Synthesis of PIPs at the late endosome membrane"
"PIK3R4"	1	"Synthesis of PIPs at the late endosome membrane"
"LBP"	1	"Transfer of LPS from LBP carrier to CD14"
"DPP4"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"GPR119"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"ISL1"	1	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"IP6K1"	1	"Synthesis of IPs in the nucleus"
"IPMK"	1	"Synthesis of IPs in the nucleus"
"IPPK"	1	"Synthesis of IPs in the nucleus"
"ATP6AP1"	1	"Transferrin endocytosis and recycling"
"ADHFE1"	1	"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"
"D2HGDH"	1	"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"
"L2HGDH"	1	"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"
"SAT1"	1	"Interconversion of polyamines"
"KCNJ1"	1	"Potassium transport channels"
"MCOLN1"	1	"Transferrin endocytosis and recycling"
"STEAP2"	1	"Transferrin endocytosis and recycling"
"STEAP3"	1	"Transferrin endocytosis and recycling"
"NPC1L1"	1	"Trafficking of dietary sterols"
"AADAT"	1	"Lysine catabolism"
"AASS"	1	"Lysine catabolism"
"ALDH7A1"	1	"Lysine catabolism"
"GCDH"	1	"Lysine catabolism"
"SLC25A21"	1	"Lysine catabolism"
"AGPS"	1	"Plasmalogen biosynthesis"
"ARG1"	1	"Urea cycle"
"ARG2"	1	"Urea cycle"
"ASL"	1	"Urea cycle"
"ASS1"	1	"Urea cycle"
"CPS1"	1	"Urea cycle"
"FAR1"	1	"Plasmalogen biosynthesis"
"FAR2"	1	"Plasmalogen biosynthesis"
"FIG4"	1	"Synthesis of PIPs at the late endosome membrane"
"GC"	1	"Vitamin D (calciferol) metabolism"
"MTM1"	1	"Synthesis of PIPs at the late endosome membrane"
"MTMR2"	1	"Synthesis of PIPs at the late endosome membrane"
"MTMR7"	1	"Synthesis of PIPs at the late endosome membrane"
"NAGS"	1	"Urea cycle"
"NOSIP"	1	"NOSIP mediated eNOS trafficking"
"NOSTRIN"	1	"NOSTRIN mediated eNOS trafficking"
"NUDT1"	1	"Phosphate bond hydrolysis by NUDT proteins"
"NUDT15"	1	"Phosphate bond hydrolysis by NUDT proteins"
"NUDT16"	1	"Phosphate bond hydrolysis by NUDT proteins"
"NUDT18"	1	"Phosphate bond hydrolysis by NUDT proteins"
"NUDT5"	1	"Phosphate bond hydrolysis by NUDT proteins"
"NUDT9"	1	"Phosphate bond hydrolysis by NUDT proteins"
"OTC"	1	"Urea cycle"
"PI4K2B"	1	"Synthesis of PIPs at the ER membrane"
"PI4KA"	1	"Synthesis of PIPs at the ER membrane"
"PIKFYVE"	1	"Synthesis of PIPs at the late endosome membrane"
"SACM1L"	1	"Synthesis of PIPs at the ER membrane"
"SLC25A15"	1	"Urea cycle"
"SLC25A2"	1	"Urea cycle"
"VAC14"	1	"Synthesis of PIPs at the late endosome membrane"
"SENP1"	1	"SUMO is proteolytically processed"
"SENP2"	1	"SUMO is proteolytically processed"
"SENP5"	1	"SUMO is proteolytically processed"
"SUMO2"	1	"SUMO is proteolytically processed"
"SUMO3"	1	"SUMO is proteolytically processed"
"SLC26A3"	1	"Multifunctional anion exchangers"
"SLC26A6"	1	"Multifunctional anion exchangers"
"SLC26A7"	1	"Multifunctional anion exchangers"
"SLC26A9"	1	"Multifunctional anion exchangers"
"PCSK5"	1	"NGF processing"
"SLC22A11"	1	"Organic anion transport"
"SLC22A12"	1	"Organic anion transport"
"SLC22A6"	1	"Organic anion transport"
"SLC22A7"	1	"Organic anion transport"
"SLC22A8"	1	"Organic anion transport"
"APOD"	1	"Transport of fatty acids"
"LCN1"	1	"Transport of fatty acids"
"LCN12"	1	"Transport of fatty acids"
"LCN15"	1	"Transport of fatty acids"
"LCN9"	1	"Transport of fatty acids"
"POFUT1"	1	"Pre-NOTCH Processing in the Endoplasmic Reticulum"
"POGLUT1"	1	"Pre-NOTCH Processing in the Endoplasmic Reticulum"
"SLC20A1"	1	"Sodium-coupled phosphate cotransporters"
"SLC20A2"	1	"Sodium-coupled phosphate cotransporters"
"SLC27A4"	1	"Transport of fatty acids"
"SLC27A6"	1	"Transport of fatty acids"
"SLC28A1"	1	"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"
"SLC28A2"	1	"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"
"SLC28A3"	1	"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"
"SLC29A1"	1	"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"
"SLC29A2"	1	"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"
"SLC29A3"	1	"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"
"SLC29A4"	1	"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"
"SLC35A2"	1	"Transport of nucleotide sugars"
"SLC35A3"	1	"Transport of nucleotide sugars"
"SLC35B4"	1	"Transport of nucleotide sugars"
"SLC35C1"	1	"Transport of nucleotide sugars"
